Exe0-4CCU,Exe1-4CCU,Exe3-4CCU,Exe2-4CCU,Exe4-4CCU,q1,q3,mean,median,mode,min,max,sstdev
287,331,327,326,306,306.00,327.00,315.40,326.00,287.00,287.00,331.00,18.61
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-790.000000,-1002.000000,-1002.00,-1002.00,-959.60,-1002.00,-1002.00,-1002.00,-790.00,94.81
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-569.000000,-1002.00,-1002.00,-915.40,-1002.00,-1002.00,-1002.00,-569.00,193.64
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-565.000000,-1002.00,-1002.00,-914.60,-1002.00,-1002.00,-1002.00,-565.00,195.43
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-569.000000,-1002.00,-1002.00,-915.40,-1002.00,-1002.00,-1002.00,-569.00,193.64
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-294.000000,-920.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-920.00,-844.00,-1002.00,-1002.00,-1002.00,-294.00,309.50
-293.000000,-920.000000,-715.000000,-1002.000000,-288.000000,-920.00,-293.00,-643.60,-715.00,-1002.00,-1002.00,-288.00,338.86
-212.000000,-914.000000,-1002.000000,-1002.000000,-293.000000,-1002.00,-293.00,-684.60,-914.00,-1002.00,-1002.00,-212.00,397.12
-212.000000,-914.000000,-1002.000000,-272.000000,-293.000000,-914.00,-272.00,-538.60,-293.00,-1002.00,-1002.00,-212.00,385.27
-210.000000,-914.000000,-1002.000000,-578.000000,-293.000000,-914.00,-293.00,-599.40,-578.00,-1002.00,-1002.00,-210.00,356.03
-212.000000,-914.000000,-1002.000000,-1002.000000,-293.000000,-1002.00,-293.00,-684.60,-914.00,-1002.00,-1002.00,-212.00,397.12
-170.000000,-914.000000,-1002.000000,-659.000000,-293.000000,-914.00,-293.00,-607.60,-659.00,-1002.00,-1002.00,-170.00,368.29
-170.000000,-914.000000,-1002.000000,-222.000000,-293.000000,-914.00,-222.00,-520.20,-293.00,-1002.00,-1002.00,-170.00,403.23
-170.000000,-914.000000,-1002.000000,-222.000000,-293.000000,-914.00,-222.00,-520.20,-293.00,-1002.00,-1002.00,-170.00,403.23
-170.000000,-914.000000,-1002.000000,-223.000000,-293.000000,-914.00,-223.00,-520.40,-293.00,-1002.00,-1002.00,-170.00,403.05
-170.000000,-1002.000000,-1002.000000,-225.000000,-293.000000,-1002.00,-225.00,-538.40,-293.00,-1002.00,-1002.00,-170.00,425.44
-137.000000,-920.000000,-1002.000000,-225.000000,-293.000000,-920.00,-225.00,-515.40,-293.00,-1002.00,-1002.00,-137.00,411.54
-167.000000,-1002.000000,-1002.000000,-223.000000,-221.000000,-1002.00,-221.00,-523.00,-223.00,-1002.00,-1002.00,-167.00,437.84
-149.000000,-1002.000000,-1002.000000,-179.000000,-216.000000,-1002.00,-179.00,-509.60,-216.00,-1002.00,-1002.00,-149.00,450.12
-136.000000,-1002.000000,-1002.000000,-223.000000,-216.000000,-1002.00,-216.00,-515.80,-223.00,-1002.00,-1002.00,-136.00,445.15
-136.000000,-1002.000000,-1002.000000,-223.000000,-216.000000,-1002.00,-216.00,-515.80,-223.00,-1002.00,-1002.00,-136.00,445.15
-171.000000,-1002.000000,-1002.000000,-222.000000,-216.000000,-1002.00,-216.00,-522.60,-222.00,-1002.00,-1002.00,-171.00,438.07
-136.000000,-1002.000000,-407.000000,-221.000000,-216.000000,-407.00,-216.00,-396.40,-221.00,-1002.00,-1002.00,-136.00,352.84
-848.000000,-1002.000000,-1002.000000,-218.000000,-221.000000,-1002.00,-221.00,-658.20,-848.00,-1002.00,-1002.00,-218.00,405.38
-848.000000,-1002.000000,-504.000000,-218.000000,-221.000000,-848.00,-221.00,-558.60,-504.00,-1002.00,-1002.00,-218.00,358.23
-848.000000,-802.000000,-1002.000000,-218.000000,-216.000000,-848.00,-218.00,-617.20,-802.00,-1002.00,-1002.00,-216.00,372.76
-848.000000,-380.000000,-1002.000000,-218.000000,-216.000000,-848.00,-218.00,-532.80,-380.00,-1002.00,-1002.00,-216.00,368.21
-186.000000,-1002.000000,-1002.000000,-218.000000,-216.000000,-1002.00,-216.00,-524.80,-218.00,-1002.00,-1002.00,-186.00,435.81
-183.000000,-1002.000000,-1002.000000,-218.000000,-216.000000,-1002.00,-216.00,-524.20,-218.00,-1002.00,-1002.00,-183.00,436.39
-183.000000,-1002.000000,-1002.000000,-218.000000,-216.000000,-1002.00,-216.00,-524.20,-218.00,-1002.00,-1002.00,-183.00,436.39
-183.000000,-1002.000000,-1002.000000,-218.000000,-216.000000,-1002.00,-216.00,-524.20,-218.00,-1002.00,-1002.00,-183.00,436.39
-183.000000,-1002.000000,-1002.000000,-218.000000,-216.000000,-1002.00,-216.00,-524.20,-218.00,-1002.00,-1002.00,-183.00,436.39
-183.000000,-1002.000000,-1002.000000,-218.000000,-216.000000,-1002.00,-216.00,-524.20,-218.00,-1002.00,-1002.00,-183.00,436.39
-183.000000,-1002.000000,-1002.000000,-218.000000,-216.000000,-1002.00,-216.00,-524.20,-218.00,-1002.00,-1002.00,-183.00,436.39
-183.000000,-1002.000000,-1002.000000,-218.000000,-221.000000,-1002.00,-218.00,-525.20,-221.00,-1002.00,-1002.00,-183.00,435.51
-183.000000,-172.000000,-1002.000000,-218.000000,-263.000000,-263.00,-183.00,-367.60,-218.00,-1002.00,-1002.00,-172.00,356.41
-183.000000,-172.000000,-794.000000,-218.000000,-263.000000,-263.00,-183.00,-326.00,-218.00,-794.00,-794.00,-172.00,264.02
-183.000000,-160.000000,-1002.000000,-145.000000,-220.000000,-220.00,-160.00,-342.00,-183.00,-1002.00,-1002.00,-145.00,370.03
-185.000000,-1002.000000,-1002.000000,-145.000000,-220.000000,-1002.00,-185.00,-510.80,-220.00,-1002.00,-1002.00,-145.00,449.19
-183.000000,-1002.000000,-938.000000,-145.000000,-215.000000,-938.00,-183.00,-496.60,-215.00,-1002.00,-1002.00,-145.00,433.45
-1002.000000,-1002.000000,-1002.000000,-145.000000,-216.000000,-1002.00,-216.00,-673.40,-1002.00,-1002.00,-1002.00,-145.00,450.65
-1002.000000,-1002.000000,-1002.000000,-145.000000,-303.000000,-1002.00,-303.00,-690.80,-1002.00,-1002.00,-1002.00,-145.00,429.77
-1002.000000,-868.000000,-1002.000000,-145.000000,-393.000000,-1002.00,-393.00,-682.00,-868.00,-1002.00,-1002.00,-145.00,390.92
-1002.000000,-1002.000000,-774.000000,-145.000000,-392.000000,-1002.00,-392.00,-663.00,-774.00,-1002.00,-1002.00,-145.00,382.08
-1002.000000,-1002.000000,-366.000000,-145.000000,-392.000000,-1002.00,-366.00,-581.40,-392.00,-1002.00,-1002.00,-145.00,395.77
-1002.000000,-868.000000,-500.000000,-145.000000,-298.000000,-868.00,-298.00,-562.60,-500.00,-1002.00,-1002.00,-145.00,365.60
-1002.000000,-1002.000000,-500.000000,-145.000000,-295.000000,-1002.00,-295.00,-588.80,-500.00,-1002.00,-1002.00,-145.00,397.69
-1002.000000,-1002.000000,-500.000000,-150.000000,-295.000000,-1002.00,-295.00,-589.80,-500.00,-1002.00,-1002.00,-150.00,396.30
-1002.000000,-1002.000000,-500.000000,-173.000000,-293.000000,-1002.00,-293.00,-594.00,-500.00,-1002.00,-1002.00,-173.00,390.39
-1002.000000,-1002.000000,-500.000000,-172.000000,-221.000000,-1002.00,-221.00,-579.40,-500.00,-1002.00,-1002.00,-172.00,405.56
-1002.000000,-884.000000,-500.000000,-172.000000,-293.000000,-884.00,-293.00,-570.20,-500.00,-1002.00,-1002.00,-172.00,362.37
-1002.000000,-888.000000,-500.000000,-163.000000,-293.000000,-888.00,-293.00,-569.20,-500.00,-1002.00,-1002.00,-163.00,365.73
-1002.000000,-888.000000,-500.000000,-160.000000,-293.000000,-888.00,-293.00,-568.60,-500.00,-1002.00,-1002.00,-160.00,366.56
-1002.000000,-888.000000,-500.000000,-163.000000,-221.000000,-888.00,-221.00,-554.80,-500.00,-1002.00,-1002.00,-163.00,380.44
-346.000000,-888.000000,-500.000000,-163.000000,-293.000000,-500.00,-293.00,-438.00,-346.00,-888.00,-888.00,-163.00,279.04
-346.000000,-888.000000,-500.000000,-162.000000,-293.000000,-500.00,-293.00,-437.80,-346.00,-888.00,-888.00,-162.00,279.29
-346.000000,-888.000000,-500.000000,-163.000000,-293.000000,-500.00,-293.00,-438.00,-346.00,-888.00,-888.00,-163.00,279.04
-263.000000,-888.000000,-500.000000,-163.000000,-293.000000,-500.00,-263.00,-421.40,-293.00,-888.00,-888.00,-163.00,288.20
-263.000000,-1002.000000,-1002.000000,-163.000000,-293.000000,-1002.00,-263.00,-544.60,-293.00,-1002.00,-1002.00,-163.00,420.31
-286.000000,-1002.000000,-1002.000000,-157.000000,-293.000000,-1002.00,-286.00,-548.00,-293.00,-1002.00,-1002.00,-157.00,417.97
-286.000000,-1002.000000,-1002.000000,-163.000000,-293.000000,-1002.00,-286.00,-549.20,-293.00,-1002.00,-1002.00,-163.00,416.57
-163.000000,-1002.000000,-246.000000,-162.000000,-293.000000,-293.00,-163.00,-373.20,-246.00,-1002.00,-1002.00,-162.00,355.95
-163.000000,-1002.000000,-337.000000,-163.000000,-293.000000,-337.00,-163.00,-391.60,-293.00,-163.00,-1002.00,-163.00,349.93
-163.000000,-1002.000000,-304.000000,-163.000000,-293.000000,-304.00,-163.00,-385.00,-293.00,-163.00,-1002.00,-163.00,351.53
-160.000000,-1002.000000,-246.000000,-163.000000,-293.000000,-293.00,-163.00,-372.80,-246.00,-1002.00,-1002.00,-160.00,356.24
-711.000000,-1002.000000,-242.000000,-127.000000,-293.000000,-711.00,-242.00,-475.00,-293.00,-1002.00,-1002.00,-127.00,368.08
-711.000000,-1002.000000,-172.000000,-163.000000,-293.000000,-711.00,-172.00,-468.20,-293.00,-1002.00,-1002.00,-163.00,372.65
-711.000000,-1002.000000,-1002.000000,-133.000000,-293.000000,-1002.00,-293.00,-628.20,-711.00,-1002.00,-1002.00,-133.00,401.21
-730.000000,-1002.000000,-172.000000,-163.000000,-293.000000,-730.00,-172.00,-472.00,-293.00,-1002.00,-1002.00,-163.00,375.83
-759.000000,-1002.000000,-149.000000,-163.000000,-293.000000,-759.00,-163.00,-473.20,-293.00,-1002.00,-1002.00,-149.00,385.72
-759.000000,-1002.000000,-1002.000000,-163.000000,-293.000000,-1002.00,-293.00,-643.80,-759.00,-1002.00,-1002.00,-163.00,395.00
-759.000000,-1002.000000,-170.000000,-136.000000,-293.000000,-759.00,-170.00,-472.00,-293.00,-1002.00,-1002.00,-136.00,387.11
-759.000000,-1002.000000,-170.000000,-163.000000,-293.000000,-759.00,-170.00,-477.40,-293.00,-1002.00,-1002.00,-163.00,381.40
-759.000000,-1002.000000,-170.000000,-163.000000,-293.000000,-759.00,-170.00,-477.40,-293.00,-1002.00,-1002.00,-163.00,381.40
-759.000000,-1002.000000,-170.000000,-163.000000,-293.000000,-759.00,-170.00,-477.40,-293.00,-1002.00,-1002.00,-163.00,381.40
-759.000000,-1002.000000,-170.000000,-163.000000,-293.000000,-759.00,-170.00,-477.40,-293.00,-1002.00,-1002.00,-163.00,381.40
-759.000000,-1002.000000,-163.000000,-163.000000,-184.000000,-759.00,-163.00,-454.20,-184.00,-163.00,-1002.00,-163.00,398.62
-467.000000,-1002.000000,-163.000000,-162.000000,-226.000000,-467.00,-163.00,-404.00,-226.00,-1002.00,-1002.00,-162.00,357.04
-759.000000,-950.000000,-163.000000,-162.000000,-226.000000,-759.00,-163.00,-452.00,-226.00,-950.00,-950.00,-162.00,374.48
-759.000000,-1002.000000,-171.000000,-162.000000,-226.000000,-759.00,-171.00,-464.00,-226.00,-1002.00,-1002.00,-162.00,390.57
-759.000000,-858.000000,-171.000000,-162.000000,-216.000000,-759.00,-171.00,-433.20,-216.00,-858.00,-858.00,-162.00,344.99
-759.000000,-1002.000000,-171.000000,-124.000000,-216.000000,-759.00,-171.00,-454.40,-216.00,-1002.00,-1002.00,-124.00,399.68
-759.000000,-1002.000000,-171.000000,-124.000000,-216.000000,-759.00,-171.00,-454.40,-216.00,-1002.00,-1002.00,-124.00,399.68
-759.000000,-627.000000,-171.000000,-162.000000,-216.000000,-627.00,-171.00,-387.00,-216.00,-759.00,-759.00,-162.00,283.95
-759.000000,-1002.000000,-169.000000,-162.000000,-216.000000,-759.00,-169.00,-461.60,-216.00,-1002.00,-1002.00,-162.00,392.48
-759.000000,-1002.000000,-169.000000,-162.000000,-216.000000,-759.00,-169.00,-461.60,-216.00,-1002.00,-1002.00,-162.00,392.48
-759.000000,-1002.000000,-168.000000,-162.000000,-216.000000,-759.00,-168.00,-461.40,-216.00,-1002.00,-1002.00,-162.00,392.67
-759.000000,-1002.000000,-169.000000,-124.000000,-216.000000,-759.00,-169.00,-454.00,-216.00,-1002.00,-1002.00,-124.00,400.03
-208.000000,-1002.000000,-168.000000,-124.000000,-216.000000,-216.00,-168.00,-343.60,-208.00,-1002.00,-1002.00,-124.00,369.87
-208.000000,-1002.000000,-169.000000,-123.000000,-216.000000,-216.00,-169.00,-343.60,-208.00,-1002.00,-1002.00,-123.00,369.90
-204.000000,-1002.000000,-169.000000,-123.000000,-216.000000,-216.00,-169.00,-342.80,-204.00,-1002.00,-1002.00,-123.00,370.27
-204.000000,-1002.000000,-125.000000,-123.000000,-216.000000,-216.00,-125.00,-334.00,-204.00,-1002.00,-1002.00,-123.00,375.92
-204.000000,-1002.000000,-125.000000,-123.000000,-216.000000,-216.00,-125.00,-334.00,-204.00,-1002.00,-1002.00,-123.00,375.92
-204.000000,-1002.000000,-144.000000,-123.000000,-216.000000,-216.00,-144.00,-337.80,-204.00,-1002.00,-1002.00,-123.00,373.36
-204.000000,-1002.000000,-129.000000,-123.000000,-216.000000,-216.00,-129.00,-334.80,-204.00,-1002.00,-1002.00,-123.00,375.36
