Exe0-4BCU,Exe1-4BCU,Exe4-4BCU,Exe3-4BCU,Exe2-4BCU,q1,q3,mean,median,mode,min,max,sstdev
221,229,215,270,193,215.00,229.00,225.60,221.00,193.00,193.00,270.00,28.19
-293.000000,-401.000000,-293.000000,-295.000000,-403.000000,-401.00,-293.00,-337.00,-295.00,-293.00,-403.00,-293.00,59.35
-293.000000,-586.000000,-207.000000,-295.000000,-401.000000,-401.00,-293.00,-356.40,-295.00,-586.00,-586.00,-207.00,145.62
-288.000000,-269.000000,-209.000000,-294.000000,-1002.000000,-294.00,-269.00,-412.40,-288.00,-1002.00,-1002.00,-209.00,331.31
-294.000000,-1002.000000,-207.000000,-294.000000,-1002.000000,-1002.00,-294.00,-559.80,-294.00,-1002.00,-1002.00,-207.00,405.23
-255.000000,-947.000000,-207.000000,-246.000000,-1002.000000,-947.00,-246.00,-531.40,-255.00,-1002.00,-1002.00,-207.00,405.36
-257.000000,-517.000000,-207.000000,-294.000000,-407.000000,-407.00,-257.00,-336.40,-294.00,-517.00,-517.00,-207.00,124.95
-168.000000,-215.000000,-207.000000,-295.000000,-398.000000,-295.00,-207.00,-256.60,-215.00,-398.00,-398.00,-168.00,91.53
-166.000000,-636.000000,-207.000000,-295.000000,-397.000000,-397.00,-207.00,-340.20,-295.00,-636.00,-636.00,-166.00,187.65
-168.000000,-174.000000,-206.000000,-295.000000,-393.000000,-295.00,-174.00,-247.20,-206.00,-393.00,-393.00,-168.00,96.01
-165.000000,-532.000000,-206.000000,-244.000000,-396.000000,-396.00,-206.00,-308.60,-244.00,-532.00,-532.00,-165.00,152.37
-162.000000,-493.000000,-206.000000,-247.000000,-396.000000,-396.00,-206.00,-300.80,-247.00,-493.00,-493.00,-162.00,138.88
-164.000000,-493.000000,-206.000000,-294.000000,-342.000000,-342.00,-206.00,-299.80,-294.00,-493.00,-493.00,-164.00,128.82
-165.000000,-410.000000,-206.000000,-293.000000,-209.000000,-293.00,-206.00,-256.60,-209.00,-410.00,-410.00,-165.00,97.56
-164.000000,-240.000000,-207.000000,-291.000000,-211.000000,-240.00,-207.00,-222.60,-211.00,-291.00,-291.00,-164.00,46.89
-166.000000,-219.000000,-206.000000,-247.000000,-208.000000,-219.00,-206.00,-209.20,-208.00,-247.00,-247.00,-166.00,29.17
-164.000000,-219.000000,-205.000000,-231.000000,-207.000000,-219.00,-205.00,-205.20,-207.00,-231.00,-231.00,-164.00,25.28
-137.000000,-172.000000,-206.000000,-210.000000,-209.000000,-209.00,-172.00,-186.80,-206.00,-210.00,-210.00,-137.00,32.01
-137.000000,-172.000000,-206.000000,-207.000000,-206.000000,-206.00,-172.00,-185.60,-206.00,-206.00,-207.00,-137.00,30.97
-137.000000,-169.000000,-206.000000,-209.000000,-208.000000,-208.00,-169.00,-185.80,-206.00,-209.00,-209.00,-137.00,32.03
-164.000000,-166.000000,-206.000000,-209.000000,-208.000000,-208.00,-166.00,-190.60,-206.00,-209.00,-209.00,-164.00,23.41
-158.000000,-165.000000,-206.000000,-140.000000,-209.000000,-206.00,-158.00,-175.60,-165.00,-209.00,-209.00,-140.00,30.53
-153.000000,-165.000000,-206.000000,-206.000000,-207.000000,-206.00,-165.00,-187.40,-206.00,-206.00,-207.00,-153.00,26.27
-164.000000,-167.000000,-206.000000,-207.000000,-206.000000,-206.00,-167.00,-190.00,-206.00,-206.00,-207.00,-164.00,22.39
-157.000000,-165.000000,-142.000000,-209.000000,-207.000000,-207.00,-157.00,-176.00,-165.00,-209.00,-209.00,-142.00,30.36
-136.000000,-153.000000,-202.000000,-200.000000,-207.000000,-202.00,-153.00,-179.60,-200.00,-207.00,-207.00,-136.00,32.70
-126.000000,-159.000000,-206.000000,-166.000000,-207.000000,-206.00,-159.00,-172.80,-166.00,-207.00,-207.00,-126.00,34.27
-156.000000,-166.000000,-203.000000,-162.000000,-206.000000,-203.00,-162.00,-178.60,-166.00,-206.00,-206.00,-156.00,23.93
-153.000000,-166.000000,-206.000000,-164.000000,-206.000000,-206.00,-164.00,-179.00,-166.00,-206.00,-206.00,-153.00,25.14
-156.000000,-166.000000,-206.000000,-161.000000,-207.000000,-206.00,-161.00,-179.20,-166.00,-207.00,-207.00,-156.00,25.17
-152.000000,-164.000000,-204.000000,-163.000000,-207.000000,-204.00,-163.00,-178.00,-164.00,-207.00,-207.00,-152.00,25.56
-127.000000,-166.000000,-171.000000,-141.000000,-204.000000,-171.00,-141.00,-161.80,-166.00,-204.00,-204.00,-127.00,29.69
-161.000000,-166.000000,-204.000000,-134.000000,-204.000000,-204.00,-161.00,-173.80,-166.00,-204.00,-204.00,-134.00,30.14
-150.000000,-166.000000,-203.000000,-134.000000,-204.000000,-203.00,-150.00,-171.40,-166.00,-204.00,-204.00,-134.00,31.41
-156.000000,-166.000000,-203.000000,-158.000000,-204.000000,-203.00,-158.00,-177.40,-166.00,-204.00,-204.00,-156.00,24.12
-155.000000,-161.000000,-203.000000,-140.000000,-204.000000,-203.00,-155.00,-172.60,-161.00,-204.00,-204.00,-140.00,29.23
-156.000000,-162.000000,-203.000000,-129.000000,-204.000000,-203.00,-156.00,-170.80,-162.00,-204.00,-204.00,-129.00,32.34
-162.000000,-164.000000,-195.000000,-134.000000,-204.000000,-195.00,-162.00,-171.80,-164.00,-204.00,-204.00,-134.00,28.11
-162.000000,-165.000000,-194.000000,-142.000000,-204.000000,-194.00,-162.00,-173.40,-165.00,-204.00,-204.00,-142.00,25.23
-162.000000,-165.000000,-203.000000,-137.000000,-204.000000,-203.00,-162.00,-174.20,-165.00,-204.00,-204.00,-137.00,28.87
-160.000000,-166.000000,-193.000000,-138.000000,-204.000000,-193.00,-160.00,-172.20,-166.00,-204.00,-204.00,-138.00,26.46
-153.000000,-166.000000,-203.000000,-139.000000,-204.000000,-203.00,-153.00,-173.00,-166.00,-204.00,-204.00,-139.00,29.44
-162.000000,-166.000000,-203.000000,-138.000000,-204.000000,-203.00,-162.00,-174.60,-166.00,-204.00,-204.00,-138.00,28.47
-128.000000,-166.000000,-203.000000,-138.000000,-168.000000,-168.00,-138.00,-160.60,-166.00,-203.00,-203.00,-128.00,29.39
-163.000000,-166.000000,-203.000000,-139.000000,-204.000000,-203.00,-163.00,-175.00,-166.00,-204.00,-204.00,-139.00,28.04
-160.000000,-159.000000,-203.000000,-138.000000,-131.000000,-160.00,-138.00,-158.20,-159.00,-203.00,-203.00,-131.00,28.10
-161.000000,-166.000000,-203.000000,-139.000000,-204.000000,-203.00,-161.00,-174.60,-166.00,-204.00,-204.00,-139.00,28.27
-161.000000,-166.000000,-203.000000,-140.000000,-204.000000,-203.00,-161.00,-174.80,-166.00,-204.00,-204.00,-140.00,27.96
-158.000000,-160.000000,-198.000000,-136.000000,-204.000000,-198.00,-158.00,-171.20,-160.00,-204.00,-204.00,-136.00,28.87
-161.000000,-166.000000,-196.000000,-163.000000,-204.000000,-196.00,-163.00,-178.00,-166.00,-204.00,-204.00,-161.00,20.36
-160.000000,-166.000000,-203.000000,-136.000000,-204.000000,-203.00,-160.00,-173.80,-166.00,-204.00,-204.00,-136.00,29.35
-161.000000,-166.000000,-198.000000,-139.000000,-204.000000,-198.00,-161.00,-173.60,-166.00,-204.00,-204.00,-139.00,27.08
-161.000000,-130.000000,-203.000000,-138.000000,-204.000000,-203.00,-138.00,-167.20,-161.00,-204.00,-204.00,-130.00,35.04
-153.000000,-130.000000,-203.000000,-139.000000,-165.000000,-165.00,-139.00,-158.00,-153.00,-203.00,-203.00,-130.00,28.48
