Exe0-4CCU,Exe1-4CCU,Exe3-4CCU,Exe2-4CCU,Exe4-4CCU,q1,q3,mean,median,mode,min,max,sstdev
317,282,325,407,326,317.00,326.00,331.40,325.00,282.00,282.00,407.00,45.92
-313.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-864.20,-1002.00,-1002.00,-1002.00,-313.00,308.13
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-245.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-850.60,-1002.00,-1002.00,-1002.00,-245.00,338.54
-1002.000000,-185.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-838.60,-1002.00,-1002.00,-1002.00,-185.00,365.37
-1002.000000,-185.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-838.60,-1002.00,-1002.00,-1002.00,-185.00,365.37
-1002.000000,-184.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-838.40,-1002.00,-1002.00,-1002.00,-184.00,365.82
-1002.000000,-184.000000,-1002.000000,-1002.000000,-264.000000,-1002.00,-264.00,-690.80,-1002.00,-1002.00,-1002.00,-184.00,427.07
-1002.000000,-175.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-836.60,-1002.00,-1002.00,-1002.00,-175.00,369.85
-1002.000000,-174.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-836.40,-1002.00,-1002.00,-1002.00,-174.00,370.29
-1002.000000,-174.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-836.40,-1002.00,-1002.00,-1002.00,-174.00,370.29
-1002.000000,-530.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-907.60,-1002.00,-1002.00,-1002.00,-530.00,211.08
-1002.000000,-530.000000,-1002.000000,-1002.000000,-808.000000,-1002.00,-808.00,-868.80,-1002.00,-1002.00,-1002.00,-530.00,207.19
-1002.000000,-175.000000,-1002.000000,-1002.000000,-808.000000,-1002.00,-808.00,-797.80,-1002.00,-1002.00,-1002.00,-175.00,358.15
-1002.000000,-367.000000,-1002.000000,-1002.000000,-901.000000,-1002.00,-901.00,-854.80,-1002.00,-1002.00,-1002.00,-367.00,276.17
-1002.000000,-169.000000,-804.000000,-1002.000000,-814.000000,-1002.00,-804.00,-758.20,-814.00,-1002.00,-1002.00,-169.00,343.24
-1002.000000,-169.000000,-800.000000,-1002.000000,-808.000000,-1002.00,-800.00,-756.20,-808.00,-1002.00,-1002.00,-169.00,342.87
-1002.000000,-168.000000,-799.000000,-1002.000000,-808.000000,-1002.00,-799.00,-755.80,-808.00,-1002.00,-1002.00,-168.00,343.27
-1002.000000,-168.000000,-799.000000,-622.000000,-808.000000,-808.00,-622.00,-679.80,-799.00,-1002.00,-1002.00,-168.00,316.12
-456.000000,-168.000000,-654.000000,-453.000000,-808.000000,-654.00,-453.00,-507.80,-456.00,-808.00,-808.00,-168.00,241.17
-373.000000,-168.000000,-799.000000,-527.000000,-808.000000,-799.00,-373.00,-535.00,-527.00,-808.00,-808.00,-168.00,276.23
-288.000000,-168.000000,-327.000000,-1002.000000,-731.000000,-731.00,-288.00,-503.20,-327.00,-1002.00,-1002.00,-168.00,350.15
-288.000000,-168.000000,-327.000000,-1002.000000,-611.000000,-611.00,-288.00,-479.20,-327.00,-1002.00,-1002.00,-168.00,334.39
-291.000000,-168.000000,-339.000000,-1002.000000,-590.000000,-590.00,-291.00,-478.00,-339.00,-1002.00,-1002.00,-168.00,330.72
-288.000000,-168.000000,-339.000000,-1002.000000,-590.000000,-590.00,-288.00,-477.40,-339.00,-1002.00,-1002.00,-168.00,331.15
-291.000000,-168.000000,-339.000000,-1002.000000,-590.000000,-590.00,-291.00,-478.00,-339.00,-1002.00,-1002.00,-168.00,330.72
-287.000000,-168.000000,-339.000000,-1002.000000,-590.000000,-590.00,-287.00,-477.20,-339.00,-1002.00,-1002.00,-168.00,331.29
-291.000000,-169.000000,-339.000000,-1002.000000,-590.000000,-590.00,-291.00,-478.20,-339.00,-1002.00,-1002.00,-169.00,330.49
-282.000000,-169.000000,-339.000000,-607.000000,-590.000000,-590.00,-282.00,-397.40,-339.00,-607.00,-607.00,-169.00,193.60
-325.000000,-169.000000,-339.000000,-1002.000000,-738.000000,-738.00,-325.00,-514.60,-339.00,-1002.00,-1002.00,-169.00,344.13
-325.000000,-169.000000,-339.000000,-691.000000,-738.000000,-691.00,-325.00,-452.40,-339.00,-738.00,-738.00,-169.00,248.95
-325.000000,-169.000000,-339.000000,-1002.000000,-738.000000,-738.00,-325.00,-514.60,-339.00,-1002.00,-1002.00,-169.00,344.13
-289.000000,-169.000000,-339.000000,-1002.000000,-1002.000000,-1002.00,-289.00,-560.20,-339.00,-1002.00,-1002.00,-169.00,408.01
-284.000000,-169.000000,-339.000000,-1002.000000,-745.000000,-745.00,-284.00,-507.80,-339.00,-1002.00,-1002.00,-169.00,351.38
-285.000000,-169.000000,-339.000000,-1002.000000,-1002.000000,-1002.00,-285.00,-559.40,-339.00,-1002.00,-1002.00,-169.00,408.68
-285.000000,-169.000000,-339.000000,-500.000000,-658.000000,-500.00,-285.00,-390.20,-339.00,-658.00,-658.00,-169.00,191.31
-285.000000,-169.000000,-339.000000,-279.000000,-658.000000,-339.00,-279.00,-346.00,-285.00,-658.00,-658.00,-169.00,185.02
-285.000000,-169.000000,-339.000000,-1002.000000,-646.000000,-646.00,-285.00,-488.20,-339.00,-1002.00,-1002.00,-169.00,337.02
-289.000000,-169.000000,-339.000000,-1002.000000,-646.000000,-646.00,-289.00,-489.00,-339.00,-1002.00,-1002.00,-169.00,336.42
-291.000000,-169.000000,-339.000000,-1002.000000,-646.000000,-646.00,-291.00,-489.40,-339.00,-1002.00,-1002.00,-169.00,336.13
-289.000000,-169.000000,-339.000000,-1002.000000,-659.000000,-659.00,-289.00,-491.60,-339.00,-1002.00,-1002.00,-169.00,337.98
-291.000000,-169.000000,-339.000000,-1002.000000,-658.000000,-658.00,-291.00,-491.80,-339.00,-1002.00,-1002.00,-169.00,337.56
-279.000000,-169.000000,-339.000000,-1002.000000,-943.000000,-943.00,-279.00,-546.40,-339.00,-1002.00,-1002.00,-169.00,394.28
-283.000000,-169.000000,-339.000000,-1002.000000,-943.000000,-943.00,-283.00,-547.20,-339.00,-1002.00,-1002.00,-169.00,393.60
-283.000000,-169.000000,-339.000000,-1002.000000,-943.000000,-943.00,-283.00,-547.20,-339.00,-1002.00,-1002.00,-169.00,393.60
-283.000000,-169.000000,-339.000000,-1002.000000,-943.000000,-943.00,-283.00,-547.20,-339.00,-1002.00,-1002.00,-169.00,393.60
-283.000000,-169.000000,-339.000000,-1002.000000,-943.000000,-943.00,-283.00,-547.20,-339.00,-1002.00,-1002.00,-169.00,393.60
-223.000000,-169.000000,-339.000000,-1002.000000,-943.000000,-943.00,-223.00,-535.20,-339.00,-1002.00,-1002.00,-169.00,404.43
-283.000000,-169.000000,-339.000000,-1002.000000,-924.000000,-924.00,-283.00,-543.40,-339.00,-1002.00,-1002.00,-169.00,388.89
-283.000000,-169.000000,-339.000000,-1002.000000,-921.000000,-921.00,-283.00,-542.80,-339.00,-1002.00,-1002.00,-169.00,388.15
-283.000000,-169.000000,-339.000000,-1002.000000,-921.000000,-921.00,-283.00,-542.80,-339.00,-1002.00,-1002.00,-169.00,388.15
-283.000000,-136.000000,-339.000000,-1002.000000,-920.000000,-920.00,-283.00,-536.00,-339.00,-1002.00,-1002.00,-136.00,396.05
-283.000000,-164.000000,-339.000000,-1002.000000,-921.000000,-921.00,-283.00,-541.80,-339.00,-1002.00,-1002.00,-164.00,389.36
-283.000000,-164.000000,-339.000000,-1002.000000,-180.000000,-339.00,-180.00,-393.60,-283.00,-1002.00,-1002.00,-164.00,347.74
-185.000000,-164.000000,-339.000000,-1002.000000,-180.000000,-339.00,-180.00,-374.00,-185.00,-1002.00,-1002.00,-164.00,358.14
-283.000000,-164.000000,-339.000000,-1002.000000,-1002.000000,-1002.00,-283.00,-558.00,-339.00,-1002.00,-1002.00,-164.00,410.21
-283.000000,-164.000000,-175.000000,-872.000000,-1002.000000,-872.00,-175.00,-499.20,-283.00,-1002.00,-1002.00,-164.00,404.97
-283.000000,-125.000000,-339.000000,-872.000000,-1002.000000,-872.00,-283.00,-524.20,-339.00,-1002.00,-1002.00,-125.00,387.65
-282.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-282.00,-531.00,-339.00,-1002.00,-1002.00,-164.00,377.15
-280.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-280.00,-530.60,-339.00,-1002.00,-1002.00,-164.00,377.48
-280.000000,-130.000000,-339.000000,-868.000000,-1002.000000,-868.00,-280.00,-523.80,-339.00,-1002.00,-1002.00,-130.00,385.95
-283.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-283.00,-531.20,-339.00,-1002.00,-1002.00,-164.00,376.98
-283.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-283.00,-531.20,-339.00,-1002.00,-1002.00,-164.00,376.98
-226.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-226.00,-519.80,-339.00,-1002.00,-1002.00,-164.00,387.09
-203.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-203.00,-515.20,-339.00,-1002.00,-1002.00,-164.00,391.57
-203.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-203.00,-515.20,-339.00,-1002.00,-1002.00,-164.00,391.57
-148.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-164.00,-504.20,-339.00,-1002.00,-1002.00,-148.00,403.13
-204.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-204.00,-515.40,-339.00,-1002.00,-1002.00,-164.00,391.37
-202.000000,-164.000000,-339.000000,-868.000000,-617.000000,-617.00,-202.00,-438.00,-339.00,-868.00,-868.00,-164.00,298.96
-203.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-203.00,-515.20,-339.00,-1002.00,-1002.00,-164.00,391.57
-204.000000,-164.000000,-339.000000,-868.000000,-1002.000000,-868.00,-204.00,-515.40,-339.00,-1002.00,-1002.00,-164.00,391.37
-200.000000,-164.000000,-221.000000,-868.000000,-1002.000000,-868.00,-200.00,-491.00,-221.00,-1002.00,-1002.00,-164.00,408.58
-203.000000,-139.000000,-221.000000,-868.000000,-1002.000000,-868.00,-203.00,-486.60,-221.00,-1002.00,-1002.00,-139.00,413.19
-201.000000,-164.000000,-221.000000,-868.000000,-1002.000000,-868.00,-201.00,-491.20,-221.00,-1002.00,-1002.00,-164.00,408.41
-204.000000,-164.000000,-221.000000,-868.000000,-1002.000000,-868.00,-204.00,-491.80,-221.00,-1002.00,-1002.00,-164.00,407.87
-204.000000,-164.000000,-221.000000,-868.000000,-1002.000000,-868.00,-204.00,-491.80,-221.00,-1002.00,-1002.00,-164.00,407.87
-204.000000,-135.000000,-221.000000,-868.000000,-494.000000,-494.00,-204.00,-384.40,-221.00,-868.00,-868.00,-135.00,303.04
-201.000000,-132.000000,-221.000000,-868.000000,-1002.000000,-868.00,-201.00,-484.80,-221.00,-1002.00,-1002.00,-132.00,415.01
-178.000000,-132.000000,-221.000000,-868.000000,-1002.000000,-868.00,-178.00,-480.20,-221.00,-1002.00,-1002.00,-132.00,419.05
