Exe0-2CCU,Exe1-2CCU,Exe4-2CCU,Exe3-2CCU,Exe2-2CCU,q1,q3,mean,median,mode,min,max,sstdev
579,655,506,568,491,506.00,579.00,559.80,568.00,491.00,491.00,655.00,65.43
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-454.000000,-1002.000000,-1002.00,-1002.00,-892.40,-1002.00,-1002.00,-1002.00,-454.00,245.07
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-455.000000,-1002.000000,-1002.00,-1002.00,-892.60,-1002.00,-1002.00,-1002.00,-455.00,244.63
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-819.000000,-1002.000000,-1002.00,-1002.00,-965.40,-1002.00,-1002.00,-1002.00,-819.00,81.84
-1002.000000,-1002.000000,-1002.000000,-560.000000,-1002.000000,-1002.00,-1002.00,-913.60,-1002.00,-1002.00,-1002.00,-560.00,197.67
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-993.000000,-1002.00,-1002.00,-1000.20,-1002.00,-1002.00,-1002.00,-993.00,4.02
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-995.000000,-1002.00,-1002.00,-1000.60,-1002.00,-1002.00,-1002.00,-995.00,3.13
-1002.000000,-468.000000,-1002.000000,-1002.000000,-772.000000,-1002.00,-772.00,-849.20,-1002.00,-1002.00,-1002.00,-468.00,235.22
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-772.000000,-1002.00,-1002.00,-956.00,-1002.00,-1002.00,-1002.00,-772.00,102.86
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-775.000000,-1002.00,-1002.00,-956.60,-1002.00,-1002.00,-1002.00,-775.00,101.52
-1002.000000,-695.000000,-803.000000,-1002.000000,-636.000000,-1002.00,-695.00,-827.60,-803.00,-1002.00,-1002.00,-636.00,170.09
-1002.000000,-633.000000,-804.000000,-1002.000000,-775.000000,-1002.00,-775.00,-843.20,-804.00,-1002.00,-1002.00,-633.00,158.75
-1002.000000,-579.000000,-645.000000,-1002.000000,-559.000000,-1002.00,-579.00,-757.40,-645.00,-1002.00,-1002.00,-559.00,225.54
-1002.000000,-579.000000,-637.000000,-1002.000000,-277.000000,-1002.00,-579.00,-699.40,-637.00,-1002.00,-1002.00,-277.00,308.20
-1002.000000,-579.000000,-637.000000,-1002.000000,-278.000000,-1002.00,-579.00,-699.60,-637.00,-1002.00,-1002.00,-278.00,307.86
-1002.000000,-164.000000,-637.000000,-1002.000000,-279.000000,-1002.00,-279.00,-616.80,-637.00,-1002.00,-1002.00,-164.00,392.52
-1002.000000,-163.000000,-634.000000,-1002.000000,-279.000000,-1002.00,-279.00,-616.00,-634.00,-1002.00,-1002.00,-163.00,392.78
-185.000000,-163.000000,-804.000000,-1002.000000,-279.000000,-804.00,-185.00,-486.60,-279.00,-1002.00,-1002.00,-163.00,388.96
-188.000000,-163.000000,-804.000000,-1002.000000,-277.000000,-804.00,-188.00,-486.80,-277.00,-1002.00,-1002.00,-163.00,388.65
-185.000000,-163.000000,-804.000000,-721.000000,-405.000000,-721.00,-185.00,-455.60,-405.00,-804.00,-804.00,-163.00,297.16
-183.000000,-163.000000,-804.000000,-721.000000,-1002.000000,-804.00,-183.00,-574.60,-721.00,-1002.00,-1002.00,-163.00,380.62
-186.000000,-163.000000,-711.000000,-711.000000,-1002.000000,-711.00,-186.00,-554.60,-711.00,-711.00,-1002.00,-163.00,366.85
-188.000000,-163.000000,-711.000000,-680.000000,-1002.000000,-711.00,-188.00,-548.80,-680.00,-1002.00,-1002.00,-163.00,363.29
-211.000000,-163.000000,-795.000000,-711.000000,-1002.000000,-795.00,-211.00,-576.40,-711.00,-1002.00,-1002.00,-163.00,371.30
-183.000000,-163.000000,-795.000000,-711.000000,-1002.000000,-795.00,-183.00,-570.80,-711.00,-1002.00,-1002.00,-163.00,378.33
-211.000000,-163.000000,-795.000000,-711.000000,-1002.000000,-795.00,-211.00,-576.40,-711.00,-1002.00,-1002.00,-163.00,371.30
-183.000000,-163.000000,-713.000000,-711.000000,-1002.000000,-713.00,-183.00,-554.40,-711.00,-1002.00,-1002.00,-163.00,367.82
-185.000000,-163.000000,-716.000000,-711.000000,-1002.000000,-716.00,-185.00,-555.40,-711.00,-1002.00,-1002.00,-163.00,367.64
-185.000000,-163.000000,-418.000000,-711.000000,-1002.000000,-711.00,-185.00,-495.80,-418.00,-1002.00,-1002.00,-163.00,359.15
-188.000000,-164.000000,-180.000000,-711.000000,-1002.000000,-711.00,-180.00,-449.00,-188.00,-1002.00,-1002.00,-164.00,386.06
-156.000000,-164.000000,-711.000000,-711.000000,-1002.000000,-711.00,-164.00,-548.80,-711.00,-711.00,-1002.00,-156.00,374.29
-156.000000,-163.000000,-317.000000,-711.000000,-945.000000,-711.00,-163.00,-458.40,-317.00,-945.00,-945.00,-156.00,353.30
-412.000000,-163.000000,-177.000000,-434.000000,-1002.000000,-434.00,-177.00,-437.60,-412.00,-1002.00,-1002.00,-163.00,340.05
-412.000000,-163.000000,-713.000000,-721.000000,-1002.000000,-721.00,-412.00,-602.20,-713.00,-1002.00,-1002.00,-163.00,322.22
-412.000000,-163.000000,-171.000000,-1002.000000,-1002.000000,-1002.00,-171.00,-550.00,-412.00,-1002.00,-1002.00,-163.00,424.58
-412.000000,-458.000000,-710.000000,-1002.000000,-1002.000000,-1002.00,-458.00,-716.80,-710.00,-1002.00,-1002.00,-412.00,283.99
-412.000000,-458.000000,-692.000000,-187.000000,-1002.000000,-692.00,-412.00,-550.20,-458.00,-1002.00,-1002.00,-187.00,309.74
-412.000000,-268.000000,-692.000000,-181.000000,-1002.000000,-692.00,-268.00,-511.00,-412.00,-1002.00,-1002.00,-181.00,336.00
-412.000000,-172.000000,-692.000000,-135.000000,-1002.000000,-692.00,-172.00,-482.60,-412.00,-1002.00,-1002.00,-135.00,366.03
-415.000000,-171.000000,-692.000000,-135.000000,-1002.000000,-692.00,-171.00,-483.00,-415.00,-1002.00,-1002.00,-135.00,366.10
-412.000000,-170.000000,-692.000000,-135.000000,-1002.000000,-692.00,-170.00,-482.20,-412.00,-1002.00,-1002.00,-135.00,366.45
-647.000000,-170.000000,-692.000000,-135.000000,-1002.000000,-692.00,-170.00,-529.20,-647.00,-1002.00,-1002.00,-135.00,370.25
-647.000000,-170.000000,-692.000000,-135.000000,-1002.000000,-692.00,-170.00,-529.20,-647.00,-1002.00,-1002.00,-135.00,370.25
-647.000000,-167.000000,-692.000000,-135.000000,-802.000000,-692.00,-167.00,-488.60,-647.00,-802.00,-802.00,-135.00,313.50
-647.000000,-168.000000,-653.000000,-181.000000,-809.000000,-653.00,-181.00,-491.60,-647.00,-809.00,-809.00,-168.00,296.70
-647.000000,-169.000000,-575.000000,-1002.000000,-795.000000,-795.00,-575.00,-637.60,-647.00,-1002.00,-1002.00,-169.00,308.69
-647.000000,-160.000000,-649.000000,-851.000000,-802.000000,-802.00,-647.00,-621.80,-649.00,-851.00,-851.00,-160.00,273.70
-647.000000,-157.000000,-652.000000,-1002.000000,-1002.000000,-1002.00,-647.00,-692.00,-652.00,-1002.00,-1002.00,-157.00,347.15
-647.000000,-169.000000,-653.000000,-1002.000000,-1002.000000,-1002.00,-647.00,-694.60,-653.00,-1002.00,-1002.00,-169.00,342.51
-647.000000,-169.000000,-655.000000,-1002.000000,-1002.000000,-1002.00,-647.00,-695.00,-655.00,-1002.00,-1002.00,-169.00,342.45
-647.000000,-164.000000,-350.000000,-1002.000000,-1002.000000,-1002.00,-350.00,-633.00,-647.00,-1002.00,-1002.00,-164.00,378.34
-647.000000,-159.000000,-345.000000,-1002.000000,-1002.000000,-1002.00,-345.00,-631.00,-647.00,-1002.00,-1002.00,-159.00,380.83
-647.000000,-158.000000,-348.000000,-1002.000000,-1002.000000,-1002.00,-348.00,-631.40,-647.00,-1002.00,-1002.00,-158.00,380.58
-563.000000,-158.000000,-345.000000,-1002.000000,-1002.000000,-1002.00,-345.00,-614.00,-563.00,-1002.00,-1002.00,-158.00,382.09
-562.000000,-154.000000,-346.000000,-1002.000000,-1002.000000,-1002.00,-346.00,-613.20,-562.00,-1002.00,-1002.00,-154.00,383.15
-562.000000,-153.000000,-350.000000,-1002.000000,-1002.000000,-1002.00,-350.00,-613.80,-562.00,-1002.00,-1002.00,-153.00,382.76
-562.000000,-154.000000,-341.000000,-1002.000000,-1002.000000,-1002.00,-341.00,-612.20,-562.00,-1002.00,-1002.00,-154.00,384.03
-376.000000,-154.000000,-305.000000,-1002.000000,-362.000000,-376.00,-305.00,-439.80,-362.00,-1002.00,-1002.00,-154.00,326.36
-562.000000,-154.000000,-305.000000,-1002.000000,-1002.000000,-1002.00,-305.00,-605.00,-562.00,-1002.00,-1002.00,-154.00,390.66
-562.000000,-154.000000,-309.000000,-1002.000000,-1002.000000,-1002.00,-309.00,-605.80,-562.00,-1002.00,-1002.00,-154.00,389.90
-561.000000,-152.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-603.20,-561.00,-1002.00,-1002.00,-152.00,392.42
-561.000000,-128.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-598.40,-561.00,-1002.00,-1002.00,-128.00,399.41
-561.000000,-128.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-598.40,-561.00,-1002.00,-1002.00,-128.00,399.41
-291.000000,-126.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-291.00,-544.00,-299.00,-1002.00,-1002.00,-126.00,423.76
-550.000000,-126.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-595.80,-550.00,-1002.00,-1002.00,-126.00,400.28
-561.000000,-124.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-597.60,-561.00,-1002.00,-1002.00,-124.00,400.59
-561.000000,-123.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-597.40,-561.00,-1002.00,-1002.00,-123.00,400.88
-561.000000,-123.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-597.40,-561.00,-1002.00,-1002.00,-123.00,400.88
-561.000000,-123.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-597.40,-561.00,-1002.00,-1002.00,-123.00,400.88
-561.000000,-123.000000,-299.000000,-1002.000000,-550.000000,-561.00,-299.00,-507.00,-550.00,-1002.00,-1002.00,-123.00,331.85
-561.000000,-123.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-597.40,-561.00,-1002.00,-1002.00,-123.00,400.88
-561.000000,-122.000000,-305.000000,-1002.000000,-1002.000000,-1002.00,-305.00,-598.40,-561.00,-1002.00,-1002.00,-122.00,400.07
-361.000000,-123.000000,-305.000000,-1002.000000,-1002.000000,-1002.00,-305.00,-558.60,-361.00,-1002.00,-1002.00,-123.00,414.22
-561.000000,-121.000000,-309.000000,-1002.000000,-1002.000000,-1002.00,-309.00,-599.00,-561.00,-1002.00,-1002.00,-121.00,399.64
-561.000000,-121.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-597.00,-561.00,-1002.00,-1002.00,-121.00,401.47
-561.000000,-121.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-597.00,-561.00,-1002.00,-1002.00,-121.00,401.47
-561.000000,-121.000000,-299.000000,-1002.000000,-1002.000000,-1002.00,-299.00,-597.00,-561.00,-1002.00,-1002.00,-121.00,401.47
-561.000000,-121.000000,-305.000000,-1002.000000,-1002.000000,-1002.00,-305.00,-598.20,-561.00,-1002.00,-1002.00,-121.00,400.37
-561.000000,-121.000000,-305.000000,-1002.000000,-1002.000000,-1002.00,-305.00,-598.20,-561.00,-1002.00,-1002.00,-121.00,400.37
-561.000000,-121.000000,-309.000000,-1002.000000,-493.000000,-561.00,-309.00,-497.20,-493.00,-1002.00,-1002.00,-121.00,330.10
-561.000000,-121.000000,-299.000000,-1000.000000,-493.000000,-561.00,-299.00,-494.80,-493.00,-1000.00,-1000.00,-121.00,330.79
-561.000000,-121.000000,-217.000000,-1002.000000,-493.000000,-561.00,-217.00,-478.80,-493.00,-1002.00,-1002.00,-121.00,345.42
