Exe1-8BCU,Exe0-8BCU,Exe4-8BCU,Exe2-8BCU,Exe3-8BCU,q1,q3,mean,median,mode,min,max,sstdev
-125.000000,-164.000000,-207.000000,-163.000000,-160.000000,-164.00,-160.00,-163.80,-163.00,-207.00,-207.00,-125.00,29.10
-127.000000,-164.000000,-207.000000,-164.000000,-147.000000,-164.00,-147.00,-161.80,-164.00,-164.00,-207.00,-127.00,29.51
-126.000000,-165.000000,-205.000000,-166.000000,-147.000000,-166.00,-147.00,-161.80,-165.00,-205.00,-205.00,-126.00,29.13
-127.000000,-166.000000,-173.000000,-165.000000,-160.000000,-166.00,-160.00,-158.20,-165.00,-173.00,-173.00,-127.00,18.05
-127.000000,-165.000000,-205.000000,-166.000000,-160.000000,-166.00,-160.00,-164.60,-165.00,-205.00,-205.00,-127.00,27.70
-127.000000,-166.000000,-200.000000,-164.000000,-160.000000,-166.00,-160.00,-163.40,-164.00,-200.00,-200.00,-127.00,25.90
-127.000000,-161.000000,-209.000000,-165.000000,-139.000000,-165.00,-139.00,-160.20,-161.00,-209.00,-209.00,-127.00,31.45
-126.000000,-164.000000,-205.000000,-166.000000,-160.000000,-166.00,-160.00,-164.20,-164.00,-205.00,-205.00,-126.00,28.04
-126.000000,-163.000000,-209.000000,-164.000000,-160.000000,-164.00,-160.00,-164.40,-163.00,-209.00,-209.00,-126.00,29.52
-126.000000,-164.000000,-208.000000,-161.000000,-159.000000,-164.00,-159.00,-163.60,-161.00,-208.00,-208.00,-126.00,29.21
-126.000000,-164.000000,-208.000000,-164.000000,-160.000000,-164.00,-160.00,-164.40,-164.00,-164.00,-208.00,-126.00,29.13
-126.000000,-161.000000,-128.000000,-164.000000,-150.000000,-161.00,-128.00,-145.80,-150.00,-164.00,-164.00,-126.00,17.95
-126.000000,-164.000000,-206.000000,-162.000000,-160.000000,-164.00,-160.00,-163.60,-162.00,-206.00,-206.00,-126.00,28.40
-126.000000,-164.000000,-206.000000,-160.000000,-141.000000,-164.00,-141.00,-159.40,-160.00,-206.00,-206.00,-126.00,30.20
-126.000000,-163.000000,-205.000000,-166.000000,-160.000000,-166.00,-160.00,-164.00,-163.00,-205.00,-205.00,-126.00,28.04
-126.000000,-164.000000,-207.000000,-154.000000,-160.000000,-164.00,-154.00,-162.20,-160.00,-207.00,-207.00,-126.00,29.12
-126.000000,-153.000000,-207.000000,-131.000000,-139.000000,-153.00,-131.00,-151.20,-139.00,-207.00,-207.00,-126.00,32.82
-126.000000,-157.000000,-206.000000,-163.000000,-139.000000,-163.00,-139.00,-158.20,-157.00,-206.00,-206.00,-126.00,30.47
-126.000000,-163.000000,-206.000000,-164.000000,-156.000000,-164.00,-156.00,-163.00,-163.00,-206.00,-206.00,-126.00,28.58
-126.000000,-162.000000,-206.000000,-165.000000,-141.000000,-165.00,-141.00,-160.00,-162.00,-206.00,-206.00,-126.00,30.26
-121.000000,-164.000000,-206.000000,-164.000000,-157.000000,-164.00,-157.00,-162.40,-164.00,-164.00,-206.00,-121.00,30.20
-126.000000,-162.000000,-206.000000,-156.000000,-160.000000,-162.00,-156.00,-162.00,-160.00,-206.00,-206.00,-126.00,28.60
-125.000000,-154.000000,-206.000000,-164.000000,-160.000000,-164.00,-154.00,-161.80,-160.00,-206.00,-206.00,-125.00,29.06
-126.000000,-164.000000,-206.000000,-155.000000,-152.000000,-164.00,-152.00,-160.60,-155.00,-206.00,-206.00,-126.00,29.05
-126.000000,-162.000000,-206.000000,-155.000000,-141.000000,-162.00,-141.00,-158.00,-155.00,-206.00,-206.00,-126.00,30.17
-126.000000,-158.000000,-206.000000,-154.000000,-160.000000,-160.00,-154.00,-160.80,-158.00,-206.00,-206.00,-126.00,28.76
-126.000000,-138.000000,-206.000000,-154.000000,-160.000000,-160.00,-138.00,-156.80,-154.00,-206.00,-206.00,-126.00,30.58
-126.000000,-163.000000,-206.000000,-154.000000,-139.000000,-163.00,-139.00,-157.60,-154.00,-206.00,-206.00,-126.00,30.53
-126.000000,-162.000000,-206.000000,-127.000000,-160.000000,-162.00,-127.00,-156.20,-160.00,-206.00,-206.00,-126.00,32.76
-125.000000,-163.000000,-206.000000,-126.000000,-160.000000,-163.00,-126.00,-156.00,-160.00,-206.00,-206.00,-125.00,33.26
-126.000000,-163.000000,-206.000000,-126.000000,-130.000000,-163.00,-126.00,-150.20,-130.00,-126.00,-206.00,-126.00,34.85
-126.000000,-163.000000,-206.000000,-126.000000,-143.000000,-163.00,-126.00,-152.80,-143.00,-126.00,-206.00,-126.00,33.42
-125.000000,-162.000000,-206.000000,-126.000000,-160.000000,-162.00,-126.00,-155.80,-160.00,-206.00,-206.00,-125.00,33.21
-126.000000,-163.000000,-206.000000,-125.000000,-145.000000,-163.00,-126.00,-153.00,-145.00,-206.00,-206.00,-125.00,33.49
-126.000000,-162.000000,-206.000000,-125.000000,-160.000000,-162.00,-126.00,-155.80,-160.00,-206.00,-206.00,-125.00,33.21
-126.000000,-163.000000,-206.000000,-125.000000,-160.000000,-163.00,-126.00,-156.00,-160.00,-206.00,-206.00,-125.00,33.26
-126.000000,-158.000000,-206.000000,-125.000000,-160.000000,-160.00,-126.00,-155.00,-158.00,-206.00,-206.00,-125.00,33.08
-126.000000,-140.000000,-206.000000,-126.000000,-160.000000,-160.00,-126.00,-151.60,-140.00,-126.00,-206.00,-126.00,33.45
-124.000000,-161.000000,-206.000000,-125.000000,-160.000000,-161.00,-125.00,-155.20,-160.00,-206.00,-206.00,-124.00,33.63
-126.000000,-164.000000,-206.000000,-126.000000,-160.000000,-164.00,-126.00,-156.40,-160.00,-126.00,-206.00,-126.00,33.09
-126.000000,-161.000000,-206.000000,-126.000000,-160.000000,-161.00,-126.00,-155.80,-160.00,-126.00,-206.00,-126.00,32.94
-126.000000,-163.000000,-206.000000,-127.000000,-160.000000,-163.00,-127.00,-156.40,-160.00,-206.00,-206.00,-126.00,32.81
-124.000000,-163.000000,-203.000000,-127.000000,-160.000000,-163.00,-127.00,-155.40,-160.00,-203.00,-203.00,-124.00,32.16
-126.000000,-164.000000,-206.000000,-125.000000,-160.000000,-164.00,-126.00,-156.20,-160.00,-206.00,-206.00,-125.00,33.32
-124.000000,-163.000000,-200.000000,-127.000000,-160.000000,-163.00,-127.00,-154.80,-160.00,-200.00,-200.00,-124.00,31.06
-126.000000,-161.000000,-203.000000,-128.000000,-160.000000,-161.00,-128.00,-155.60,-160.00,-203.00,-203.00,-126.00,31.36
-125.000000,-163.000000,-206.000000,-126.000000,-160.000000,-163.00,-126.00,-156.00,-160.00,-206.00,-206.00,-125.00,33.26
-125.000000,-162.000000,-203.000000,-124.000000,-160.000000,-162.00,-125.00,-154.80,-160.00,-203.00,-203.00,-124.00,32.55
-125.000000,-161.000000,-206.000000,-125.000000,-160.000000,-161.00,-125.00,-155.40,-160.00,-125.00,-206.00,-125.00,33.40
-125.000000,-162.000000,-206.000000,-127.000000,-160.000000,-162.00,-127.00,-156.00,-160.00,-206.00,-206.00,-125.00,32.99
-125.000000,-162.000000,-204.000000,-124.000000,-160.000000,-162.00,-125.00,-155.00,-160.00,-204.00,-204.00,-124.00,32.92
-125.000000,-164.000000,-204.000000,-127.000000,-160.000000,-164.00,-127.00,-156.00,-160.00,-204.00,-204.00,-125.00,32.35
-123.000000,-158.000000,-204.000000,-125.000000,-160.000000,-160.00,-125.00,-154.00,-158.00,-204.00,-204.00,-123.00,32.99
-125.000000,-164.000000,-204.000000,-125.000000,-141.000000,-164.00,-125.00,-151.80,-141.00,-125.00,-204.00,-125.00,33.27
-124.000000,-163.000000,-204.000000,-124.000000,-160.000000,-163.00,-124.00,-155.00,-160.00,-124.00,-204.00,-124.00,33.21
-125.000000,-158.000000,-204.000000,-125.000000,-160.000000,-160.00,-125.00,-154.40,-158.00,-125.00,-204.00,-125.00,32.53
-127.00,-166.00,-289.25,-168.00,-161.00,-168.00,-161.00,-182.25,-166.00,-289.25,-289.25,-127.00,62.09
-126.00,-162.00,-206.00,-127.00,-160.00,-162.00,-127.00,-156.20,-160.00,-206.00,-206.00,-126.00,32.76
-136.53,-172.41,-288.59,-175.13,-217.02,-217.02,-172.41,-197.94,-175.13,-288.59,-288.59,-136.53,58.15
-126.00,-163.00,-206.50,-164.50,-160.00,-164.50,-160.00,-164.00,-163.00,-206.50,-206.50,-126.00,28.58
-126.00,-163.00,-206.00,-165.00,-160.00,-165.00,-160.00,-164.00,-163.00,-206.00,-206.00,-126.00,28.40
-398.00,-433.00,-1002.00,-979.00,-1002.00,-1002.00,-433.00,-762.80,-979.00,-1002.00,-1002.00,-398.00,317.42
-121.00,-128.00,-128.00,-124.00,-130.00,-128.00,-124.00,-126.20,-128.00,-128.00,-130.00,-121.00,3.63
37.44,39.64,206.58,99.87,193.92,39.64,193.92,115.49,99.87,37.44,37.44,206.58,81.45
