Exe2-1BCU,Exe3-1BCU,Exe4-1BCU,Exe1-1BCU,Exe0-1BCU,q1,q3,mean,median,mode,min,max,sstdev
574,571,611,602,574,574.00,602.00,586.40,574.00,574.00,571.00,611.00,18.66
-1002.000000,-822.000000,-328.000000,-294.000000,-499.000000,-822.00,-328.00,-589.00,-499.00,-1002.00,-1002.00,-294.00,311.49
-312.000000,-295.000000,-247.000000,-294.000000,-461.000000,-312.00,-294.00,-321.80,-295.00,-461.00,-461.00,-247.00,81.48
-211.000000,-295.000000,-215.000000,-293.000000,-716.000000,-295.00,-215.00,-346.00,-293.00,-716.00,-716.00,-211.00,210.77
-209.000000,-304.000000,-212.000000,-225.000000,-400.000000,-304.00,-212.00,-270.00,-225.00,-400.00,-400.00,-209.00,82.41
-209.000000,-294.000000,-234.000000,-233.000000,-397.000000,-294.00,-233.00,-273.40,-234.00,-397.00,-397.00,-209.00,75.88
-209.000000,-294.000000,-237.000000,-211.000000,-395.000000,-294.00,-211.00,-269.20,-237.00,-395.00,-395.00,-209.00,78.24
-209.000000,-291.000000,-212.000000,-235.000000,-396.000000,-291.00,-212.00,-268.60,-235.00,-396.00,-396.00,-209.00,78.45
-212.000000,-170.000000,-234.000000,-294.000000,-397.000000,-294.00,-212.00,-261.40,-234.00,-397.00,-397.00,-170.00,88.03
-212.000000,-209.000000,-208.000000,-169.000000,-388.000000,-212.00,-208.00,-237.20,-209.00,-388.00,-388.00,-169.00,86.13
-212.000000,-170.000000,-211.000000,-169.000000,-381.000000,-212.00,-170.00,-228.60,-211.00,-381.00,-381.00,-169.00,87.75
-212.000000,-170.000000,-211.000000,-168.000000,-389.000000,-212.00,-170.00,-230.00,-211.00,-389.00,-389.00,-168.00,91.39
-215.000000,-207.000000,-209.000000,-166.000000,-299.000000,-215.00,-207.00,-219.20,-209.00,-299.00,-299.00,-166.00,48.65
-212.000000,-205.000000,-209.000000,-169.000000,-298.000000,-212.00,-205.00,-218.60,-209.00,-298.00,-298.00,-169.00,47.66
-212.000000,-205.000000,-167.000000,-168.000000,-304.000000,-212.00,-168.00,-211.20,-205.00,-304.00,-304.00,-167.00,55.84
-213.000000,-203.000000,-213.000000,-163.000000,-298.000000,-213.00,-203.00,-218.00,-213.00,-213.00,-298.00,-163.00,49.24
-212.000000,-204.000000,-204.000000,-162.000000,-294.000000,-212.00,-204.00,-215.20,-204.00,-204.00,-294.00,-162.00,48.22
-213.000000,-174.000000,-203.000000,-168.000000,-221.000000,-213.00,-174.00,-195.80,-203.00,-221.00,-221.00,-168.00,23.62
-212.000000,-170.000000,-201.000000,-166.000000,-211.000000,-211.00,-170.00,-192.00,-201.00,-212.00,-212.00,-166.00,22.37
-212.000000,-204.000000,-201.000000,-168.000000,-215.000000,-212.00,-201.00,-200.00,-204.00,-215.00,-215.00,-168.00,18.77
-215.000000,-165.000000,-201.000000,-167.000000,-216.000000,-215.00,-167.00,-192.80,-201.00,-216.00,-216.00,-165.00,25.18
-207.000000,-204.000000,-201.000000,-166.000000,-258.000000,-207.00,-201.00,-207.20,-204.00,-258.00,-258.00,-166.00,32.89
-207.000000,-199.000000,-201.000000,-167.000000,-210.000000,-207.00,-199.00,-196.80,-201.00,-210.00,-210.00,-167.00,17.24
-211.000000,-169.000000,-201.000000,-168.000000,-209.000000,-209.00,-169.00,-191.60,-201.00,-211.00,-211.00,-168.00,21.42
-206.000000,-170.000000,-201.000000,-167.000000,-209.000000,-206.00,-170.00,-190.60,-201.00,-209.00,-209.00,-167.00,20.40
-165.000000,-200.000000,-201.000000,-168.000000,-209.000000,-201.00,-168.00,-188.60,-200.00,-209.00,-209.00,-165.00,20.50
-171.000000,-199.000000,-199.000000,-168.000000,-209.000000,-199.00,-171.00,-189.20,-199.00,-199.00,-209.00,-168.00,18.47
-199.000000,-170.000000,-199.000000,-168.000000,-209.000000,-199.00,-170.00,-189.00,-199.00,-199.00,-209.00,-168.00,18.72
-204.000000,-197.000000,-199.000000,-164.000000,-209.000000,-204.00,-197.00,-194.60,-199.00,-209.00,-209.00,-164.00,17.73
-207.000000,-197.000000,-200.000000,-168.000000,-209.000000,-207.00,-197.00,-196.20,-200.00,-209.00,-209.00,-168.00,16.51
-166.000000,-197.000000,-200.000000,-156.000000,-209.000000,-200.00,-166.00,-185.60,-197.00,-209.00,-209.00,-156.00,23.16
-164.000000,-197.000000,-198.000000,-155.000000,-209.000000,-198.00,-164.00,-184.60,-197.00,-209.00,-209.00,-155.00,23.61
-165.000000,-172.000000,-200.000000,-164.000000,-207.000000,-200.00,-165.00,-181.60,-172.00,-207.00,-207.00,-164.00,20.38
-163.000000,-198.000000,-200.000000,-164.000000,-209.000000,-200.00,-164.00,-186.80,-198.00,-209.00,-209.00,-163.00,21.67
-163.000000,-188.000000,-200.000000,-159.000000,-209.000000,-200.00,-163.00,-183.80,-188.00,-209.00,-209.00,-159.00,22.15
-163.000000,-197.000000,-200.000000,-164.000000,-209.000000,-200.00,-164.00,-186.60,-197.00,-209.00,-209.00,-163.00,21.55
-162.000000,-197.000000,-200.000000,-164.000000,-208.000000,-200.00,-164.00,-186.20,-197.00,-208.00,-208.00,-162.00,21.57
-163.000000,-127.000000,-200.000000,-164.000000,-209.000000,-200.00,-163.00,-172.60,-164.00,-209.00,-209.00,-127.00,32.87
-163.000000,-197.000000,-200.000000,-163.000000,-208.000000,-200.00,-163.00,-186.20,-197.00,-163.00,-208.00,-163.00,21.56
-163.000000,-198.000000,-200.000000,-164.000000,-208.000000,-200.00,-164.00,-186.60,-198.00,-208.00,-208.00,-163.00,21.42
-163.000000,-198.000000,-200.000000,-160.000000,-161.000000,-198.00,-161.00,-176.40,-163.00,-200.00,-200.00,-160.00,20.67
-160.000000,-197.000000,-200.000000,-162.000000,-209.000000,-200.00,-162.00,-185.60,-197.00,-209.00,-209.00,-160.00,22.90
-164.000000,-197.000000,-200.000000,-163.000000,-209.000000,-200.00,-164.00,-186.60,-197.00,-209.00,-209.00,-163.00,21.55
-160.000000,-197.000000,-200.000000,-162.000000,-207.000000,-200.00,-162.00,-185.20,-197.00,-207.00,-207.00,-160.00,22.40
-162.000000,-197.000000,-200.000000,-163.000000,-209.000000,-200.00,-163.00,-186.20,-197.00,-209.00,-209.00,-162.00,22.08
-161.000000,-197.000000,-200.000000,-162.000000,-209.000000,-200.00,-162.00,-185.80,-197.00,-209.00,-209.00,-161.00,22.62
-162.000000,-169.000000,-200.000000,-163.000000,-208.000000,-200.00,-163.00,-180.40,-169.00,-208.00,-208.00,-162.00,21.89
-161.000000,-197.000000,-200.000000,-164.000000,-207.000000,-200.00,-164.00,-185.80,-197.00,-207.00,-207.00,-161.00,21.60
-159.000000,-196.000000,-200.000000,-163.000000,-208.000000,-200.00,-163.00,-185.20,-196.00,-208.00,-208.00,-159.00,22.55
-162.000000,-140.000000,-203.000000,-154.000000,-208.000000,-203.00,-154.00,-173.40,-162.00,-208.00,-208.00,-140.00,30.39
-161.000000,-197.000000,-203.000000,-163.000000,-208.000000,-203.00,-163.00,-186.40,-197.00,-208.00,-208.00,-161.00,22.62
-152.000000,-197.000000,-203.000000,-163.000000,-208.000000,-203.00,-163.00,-184.60,-197.00,-208.00,-208.00,-152.00,25.34
-149.000000,-196.000000,-201.000000,-163.000000,-208.000000,-201.00,-163.00,-183.40,-196.00,-208.00,-208.00,-149.00,25.85
-149.000000,-197.000000,-202.000000,-163.000000,-206.000000,-202.00,-163.00,-183.40,-197.00,-206.00,-206.00,-149.00,25.70
-154.000000,-197.000000,-202.000000,-155.000000,-205.000000,-202.00,-155.00,-182.60,-197.00,-205.00,-205.00,-154.00,25.81
-161.000000,-197.000000,-202.000000,-163.000000,-205.000000,-202.00,-163.00,-185.60,-197.00,-205.00,-205.00,-161.00,21.74
-160.000000,-197.000000,-200.000000,-163.000000,-138.000000,-197.00,-160.00,-171.60,-163.00,-200.00,-200.00,-138.00,26.41
-154.000000,-197.000000,-123.000000,-158.000000,-127.000000,-158.00,-127.00,-151.80,-154.00,-197.00,-197.00,-123.00,29.71
