Exe0-1CCU,Exe1-1CCU,Exe2-1CCU,Exe3-1CCU,Exe4-1CCU,q1,q3,mean,median,mode,min,max,sstdev
1066,988,941,934,967,941.00,988.00,979.20,967.00,934.00,934.00,1066.00,53.06
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-804.000000,-1002.000000,-1002.000000,-1002.000000,-932.000000,-1002.00,-932.00,-948.40,-1002.00,-1002.00,-1002.00,-804.00,86.23
-1002.000000,-133.000000,-1002.000000,-1002.000000,-937.000000,-1002.00,-937.00,-815.20,-1002.00,-1002.00,-1002.00,-133.00,382.40
-1002.000000,-134.000000,-1002.000000,-1002.000000,-823.000000,-1002.00,-823.00,-792.60,-1002.00,-1002.00,-1002.00,-134.00,376.24
-172.000000,-499.000000,-1002.000000,-1002.000000,-736.000000,-1002.00,-499.00,-682.20,-736.00,-1002.00,-1002.00,-172.00,354.01
-172.000000,-1002.000000,-1002.000000,-1002.000000,-737.000000,-1002.00,-737.00,-783.00,-1002.00,-1002.00,-1002.00,-172.00,360.32
-173.000000,-1002.000000,-1002.000000,-1002.000000,-666.000000,-1002.00,-666.00,-769.00,-1002.00,-1002.00,-1002.00,-173.00,363.56
-172.000000,-1002.000000,-1002.000000,-1002.000000,-661.000000,-1002.00,-661.00,-767.80,-1002.00,-1002.00,-1002.00,-172.00,364.33
-1002.000000,-178.000000,-1002.000000,-1002.000000,-192.000000,-1002.00,-192.00,-675.20,-1002.00,-1002.00,-1002.00,-178.00,447.52
-307.000000,-177.000000,-1002.000000,-1002.000000,-192.000000,-1002.00,-192.00,-536.00,-307.00,-1002.00,-1002.00,-177.00,428.36
-1002.000000,-143.000000,-1002.000000,-1002.000000,-588.000000,-1002.00,-588.00,-747.40,-1002.00,-1002.00,-1002.00,-143.00,382.48
-307.000000,-143.000000,-1002.000000,-444.000000,-588.000000,-588.00,-307.00,-496.80,-444.00,-1002.00,-1002.00,-143.00,326.93
-1002.000000,-143.000000,-1002.000000,-1002.000000,-588.000000,-1002.00,-588.00,-747.40,-1002.00,-1002.00,-1002.00,-143.00,382.48
-1002.000000,-143.000000,-1002.000000,-1002.000000,-588.000000,-1002.00,-588.00,-747.40,-1002.00,-1002.00,-1002.00,-143.00,382.48
-1002.000000,-143.000000,-1002.000000,-710.000000,-588.000000,-1002.00,-588.00,-689.00,-710.00,-1002.00,-1002.00,-143.00,355.21
-1002.000000,-143.000000,-1002.000000,-1002.000000,-588.000000,-1002.00,-588.00,-747.40,-1002.00,-1002.00,-1002.00,-143.00,382.48
-1002.000000,-143.000000,-1002.000000,-1002.000000,-242.000000,-1002.00,-242.00,-678.20,-1002.00,-1002.00,-1002.00,-143.00,444.76
-1002.000000,-143.000000,-1002.000000,-1002.000000,-240.000000,-1002.00,-240.00,-677.80,-1002.00,-1002.00,-1002.00,-143.00,445.25
-1002.000000,-143.000000,-952.000000,-1002.000000,-229.000000,-1002.00,-229.00,-665.60,-952.00,-1002.00,-1002.00,-143.00,439.34
-1002.000000,-143.000000,-1002.000000,-1002.000000,-313.000000,-1002.00,-313.00,-692.40,-1002.00,-1002.00,-1002.00,-143.00,428.18
-1002.000000,-143.000000,-1002.000000,-1002.000000,-313.000000,-1002.00,-313.00,-692.40,-1002.00,-1002.00,-1002.00,-143.00,428.18
-1002.000000,-143.000000,-1002.000000,-1002.000000,-288.000000,-1002.00,-288.00,-687.40,-1002.00,-1002.00,-1002.00,-143.00,433.82
-199.000000,-143.000000,-684.000000,-1002.000000,-288.000000,-684.00,-199.00,-463.20,-288.00,-1002.00,-1002.00,-143.00,368.13
