Exe1-8CCU,Exe0-8CCU,Exe2-8CCU,Exe3-8CCU,Exe4-8CCU,q1,q3,mean,median,mode,min,max,sstdev
220,218,235,178,226,218.00,226.00,215.40,220.00,178.00,178.00,235.00,21.93
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-841.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-969.80,-1002.00,-1002.00,-1002.00,-841.00,72.00
-926.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-986.80,-1002.00,-1002.00,-1002.00,-926.00,33.99
-916.000000,-1002.000000,-1002.000000,-1002.000000,-916.000000,-1002.00,-916.00,-967.60,-1002.00,-1002.00,-1002.00,-916.00,47.10
-996.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1000.80,-1002.00,-1002.00,-1002.00,-996.00,2.68
-807.000000,-271.000000,-1002.000000,-1002.000000,-261.000000,-1002.00,-271.00,-668.60,-807.00,-1002.00,-1002.00,-261.00,376.06
-897.000000,-254.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-897.00,-831.40,-1002.00,-1002.00,-1002.00,-254.00,325.96
-885.000000,-271.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-885.00,-832.40,-1002.00,-1002.00,-1002.00,-271.00,317.90
-885.000000,-264.000000,-1002.000000,-172.000000,-1002.000000,-1002.00,-264.00,-665.00,-885.00,-1002.00,-1002.00,-172.00,412.12
-885.000000,-271.000000,-1002.000000,-172.000000,-630.000000,-885.00,-271.00,-592.00,-630.00,-1002.00,-1002.00,-172.00,365.66
-1002.000000,-271.000000,-1002.000000,-172.000000,-546.000000,-1002.00,-271.00,-598.60,-546.00,-1002.00,-1002.00,-172.00,392.92
-1002.000000,-271.000000,-1002.000000,-172.000000,-1002.000000,-1002.00,-271.00,-689.80,-1002.00,-1002.00,-1002.00,-172.00,428.93
-1002.000000,-271.000000,-1002.000000,-171.000000,-1002.000000,-1002.00,-271.00,-689.60,-1002.00,-1002.00,-1002.00,-171.00,429.23
-1002.000000,-271.000000,-1002.000000,-171.000000,-1002.000000,-1002.00,-271.00,-689.60,-1002.00,-1002.00,-1002.00,-171.00,429.23
-1002.000000,-271.000000,-1002.000000,-171.000000,-894.000000,-1002.00,-271.00,-668.00,-894.00,-1002.00,-1002.00,-171.00,411.95
-706.000000,-271.000000,-1002.000000,-174.000000,-1002.000000,-1002.00,-271.00,-631.00,-706.00,-1002.00,-1002.00,-174.00,393.50
-701.000000,-271.000000,-1002.000000,-170.000000,-1002.000000,-1002.00,-271.00,-629.20,-701.00,-1002.00,-1002.00,-170.00,394.43
-699.000000,-271.000000,-1002.000000,-171.000000,-1002.000000,-1002.00,-271.00,-629.00,-699.00,-1002.00,-1002.00,-171.00,394.05
-625.000000,-1002.000000,-483.000000,-172.000000,-1002.000000,-1002.00,-483.00,-656.80,-625.00,-1002.00,-1002.00,-172.00,355.17
-568.000000,-1002.000000,-1002.000000,-528.000000,-1002.000000,-1002.00,-568.00,-820.40,-1002.00,-1002.00,-1002.00,-528.00,249.07
-566.000000,-1002.000000,-1002.000000,-528.000000,-1002.000000,-1002.00,-566.00,-820.00,-1002.00,-1002.00,-1002.00,-528.00,249.58
-566.000000,-1002.000000,-1002.000000,-528.000000,-1002.000000,-1002.00,-566.00,-820.00,-1002.00,-1002.00,-1002.00,-528.00,249.58
-536.000000,-1002.000000,-1002.000000,-999.000000,-1002.000000,-1002.00,-999.00,-908.20,-1002.00,-1002.00,-1002.00,-536.00,208.07
-334.000000,-1002.000000,-951.000000,-1002.000000,-1002.000000,-1002.00,-951.00,-858.20,-1002.00,-1002.00,-1002.00,-334.00,293.87
-334.000000,-1002.000000,-948.000000,-1002.000000,-1002.000000,-1002.00,-948.00,-857.60,-1002.00,-1002.00,-1002.00,-334.00,293.63
-252.000000,-1002.000000,-948.000000,-1002.000000,-1002.000000,-1002.00,-948.00,-841.20,-1002.00,-1002.00,-1002.00,-252.00,330.20
-255.000000,-1002.000000,-951.000000,-1002.000000,-1002.000000,-1002.00,-951.00,-842.40,-1002.00,-1002.00,-1002.00,-255.00,329.11
-246.000000,-1002.000000,-951.000000,-1002.000000,-1002.000000,-1002.00,-951.00,-840.60,-1002.00,-1002.00,-1002.00,-246.00,333.12
