Exe0-4BCU,Exe1-4BCU,Exe2-4BCU,Exe3-4BCU,Exe4-4BCU,q1,q3,mean,median,mode,min,max,sstdev
287,313,227,235,255,235.00,287.00,263.40,255.00,227.00,227.00,313.00,36.12
-211.000000,-347.000000,-398.000000,-962.000000,-380.000000,-398.00,-347.00,-459.60,-380.00,-962.00,-962.00,-211.00,290.27
-211.000000,-310.000000,-395.000000,-1002.000000,-398.000000,-398.00,-310.00,-463.20,-395.00,-1002.00,-1002.00,-211.00,310.76
-209.000000,-379.000000,-397.000000,-786.000000,-396.000000,-397.00,-379.00,-433.40,-396.00,-786.00,-786.00,-209.00,212.35
-209.000000,-327.000000,-396.000000,-290.000000,-168.000000,-327.00,-209.00,-278.00,-290.00,-396.00,-396.00,-168.00,91.28
-209.000000,-282.000000,-398.000000,-207.000000,-168.000000,-282.00,-207.00,-252.80,-209.00,-398.00,-398.00,-168.00,91.03
-124.000000,-293.000000,-396.000000,-207.000000,-167.000000,-293.00,-167.00,-237.40,-207.00,-396.00,-396.00,-124.00,108.38
-209.000000,-216.000000,-395.000000,-205.000000,-207.000000,-216.00,-207.00,-246.40,-209.00,-395.00,-395.00,-205.00,83.17
-209.000000,-215.000000,-396.000000,-205.000000,-167.000000,-215.00,-205.00,-238.40,-209.00,-396.00,-396.00,-167.00,90.09
-122.000000,-212.000000,-298.000000,-205.000000,-207.000000,-212.00,-205.00,-208.80,-207.00,-298.00,-298.00,-122.00,62.29
-206.000000,-211.000000,-294.000000,-205.000000,-167.000000,-211.00,-205.00,-216.60,-206.00,-294.00,-294.00,-167.00,46.72
-206.000000,-216.000000,-256.000000,-205.000000,-130.000000,-216.00,-205.00,-202.60,-206.00,-256.00,-256.00,-130.00,45.60
-195.000000,-213.000000,-254.000000,-205.000000,-130.000000,-213.00,-195.00,-199.40,-205.00,-254.00,-254.00,-130.00,44.81
-142.000000,-207.000000,-254.000000,-205.000000,-130.000000,-207.00,-142.00,-187.60,-205.00,-254.00,-254.00,-130.00,51.20
-209.000000,-209.000000,-253.000000,-205.000000,-130.000000,-209.00,-205.00,-201.20,-209.00,-209.00,-253.00,-130.00,44.41
-208.000000,-210.000000,-254.000000,-205.000000,-209.000000,-210.00,-208.00,-217.20,-209.00,-254.00,-254.00,-205.00,20.66
-208.000000,-128.000000,-254.000000,-205.000000,-130.000000,-208.00,-130.00,-185.00,-205.00,-254.00,-254.00,-128.00,54.69
-209.000000,-142.000000,-254.000000,-205.000000,-135.000000,-209.00,-142.00,-189.00,-205.00,-254.00,-254.00,-135.00,50.01
-209.000000,-139.000000,-247.000000,-205.000000,-141.000000,-209.00,-141.00,-188.20,-205.00,-247.00,-247.00,-139.00,46.96
-208.000000,-210.000000,-180.000000,-205.000000,-130.000000,-208.00,-180.00,-186.60,-205.00,-210.00,-210.00,-130.00,33.88
-208.000000,-209.000000,-166.000000,-205.000000,-127.000000,-208.00,-166.00,-183.00,-205.00,-209.00,-209.00,-127.00,36.09
-202.000000,-203.000000,-166.000000,-171.000000,-128.000000,-202.00,-166.00,-174.00,-171.00,-203.00,-203.00,-128.00,30.88
-206.000000,-199.000000,-166.000000,-172.000000,-130.000000,-199.00,-166.00,-174.60,-172.00,-206.00,-206.00,-130.00,30.21
-206.000000,-199.000000,-166.000000,-171.000000,-129.000000,-199.00,-166.00,-174.20,-171.00,-206.00,-206.00,-129.00,30.61
-207.000000,-199.000000,-165.000000,-171.000000,-129.000000,-199.00,-165.00,-174.20,-171.00,-207.00,-207.00,-129.00,30.94
-206.000000,-199.000000,-165.000000,-166.000000,-129.000000,-199.00,-165.00,-173.00,-166.00,-206.00,-206.00,-129.00,30.88
-206.000000,-199.000000,-165.000000,-170.000000,-127.000000,-199.00,-165.00,-173.40,-170.00,-206.00,-206.00,-127.00,31.44
-204.000000,-200.000000,-165.000000,-171.000000,-133.000000,-200.00,-165.00,-174.60,-171.00,-204.00,-204.00,-133.00,28.92
-204.000000,-198.000000,-165.000000,-171.000000,-128.000000,-198.00,-165.00,-173.20,-171.00,-204.00,-204.00,-128.00,30.33
-204.000000,-198.000000,-165.000000,-166.000000,-128.000000,-198.00,-165.00,-172.20,-166.00,-204.00,-204.00,-128.00,30.50
-204.000000,-200.000000,-165.000000,-171.000000,-128.000000,-200.00,-165.00,-173.60,-171.00,-204.00,-204.00,-128.00,30.75
-203.000000,-198.000000,-165.000000,-166.000000,-128.000000,-198.00,-165.00,-172.00,-166.00,-203.00,-203.00,-128.00,30.24
-178.000000,-199.000000,-165.000000,-166.000000,-128.000000,-178.00,-165.00,-167.20,-166.00,-199.00,-199.00,-128.00,25.84
-203.000000,-198.000000,-158.000000,-168.000000,-128.000000,-198.00,-158.00,-171.00,-168.00,-203.00,-203.00,-128.00,30.74
-182.000000,-199.000000,-125.000000,-168.000000,-128.000000,-182.00,-128.00,-160.40,-168.00,-199.00,-199.00,-125.00,32.85
-204.000000,-199.000000,-125.000000,-165.000000,-128.000000,-199.00,-128.00,-164.20,-165.00,-204.00,-204.00,-125.00,37.56
-194.000000,-198.000000,-159.000000,-168.000000,-128.000000,-194.00,-159.00,-169.40,-168.00,-198.00,-198.00,-128.00,28.49
-203.000000,-199.000000,-159.000000,-166.000000,-126.000000,-199.00,-159.00,-170.60,-166.00,-203.00,-203.00,-126.00,31.63
-203.000000,-197.000000,-159.000000,-172.000000,-128.000000,-197.00,-159.00,-171.80,-172.00,-203.00,-203.00,-128.00,30.38
-203.000000,-198.000000,-125.000000,-170.000000,-127.000000,-198.00,-127.00,-164.60,-170.00,-203.00,-203.00,-125.00,37.42
-194.000000,-198.000000,-128.000000,-166.000000,-127.000000,-194.00,-128.00,-162.60,-166.00,-198.00,-198.00,-127.00,34.33
-203.000000,-197.000000,-131.000000,-168.000000,-126.000000,-197.00,-131.00,-165.00,-168.00,-203.00,-203.00,-126.00,35.90
-204.000000,-199.000000,-157.000000,-166.000000,-127.000000,-199.00,-157.00,-170.60,-166.00,-204.00,-204.00,-127.00,31.74
-203.000000,-198.000000,-126.000000,-168.000000,-127.000000,-198.00,-127.00,-164.40,-168.00,-203.00,-203.00,-126.00,37.10
-204.000000,-198.000000,-157.000000,-165.000000,-127.000000,-198.00,-157.00,-170.20,-165.00,-204.00,-204.00,-127.00,31.55
-204.000000,-198.000000,-131.000000,-165.000000,-126.000000,-198.00,-131.00,-164.80,-165.00,-204.00,-204.00,-126.00,36.36
-204.000000,-198.000000,-131.000000,-205.000000,-127.000000,-204.00,-131.00,-173.00,-198.00,-205.00,-205.00,-127.00,40.28
-204.000000,-198.000000,-125.000000,-168.000000,-126.000000,-198.00,-126.00,-164.20,-168.00,-204.00,-204.00,-125.00,37.87
-204.000000,-198.000000,-157.000000,-167.000000,-127.000000,-198.00,-157.00,-170.60,-167.00,-204.00,-204.00,-127.00,31.48
-204.000000,-198.000000,-157.000000,-174.000000,-127.000000,-198.00,-157.00,-172.00,-174.00,-204.00,-204.00,-127.00,31.44
-204.000000,-198.000000,-131.000000,-166.000000,-127.000000,-198.00,-131.00,-165.20,-166.00,-204.00,-204.00,-127.00,36.09
-203.000000,-198.000000,-126.000000,-166.000000,-126.000000,-198.00,-126.00,-163.80,-166.00,-126.00,-203.00,-126.00,37.31
-203.000000,-198.000000,-157.000000,-169.000000,-126.000000,-198.00,-157.00,-170.60,-169.00,-203.00,-203.00,-126.00,31.53
-203.000000,-198.000000,-157.000000,-169.000000,-126.000000,-198.00,-157.00,-170.60,-169.00,-203.00,-203.00,-126.00,31.53
-203.000000,-198.000000,-126.000000,-167.000000,-126.000000,-198.00,-126.00,-164.00,-167.00,-126.00,-203.00,-126.00,37.33
-203.000000,-197.000000,-126.000000,-169.000000,-126.000000,-197.00,-126.00,-164.20,-169.00,-126.00,-203.00,-126.00,37.16
-203.000000,-197.000000,-126.000000,-169.000000,-126.000000,-197.00,-126.00,-164.20,-169.00,-126.00,-203.00,-126.00,37.16
-203.000000,-197.000000,-126.000000,-166.000000,-126.000000,-197.00,-126.00,-163.60,-166.00,-126.00,-203.00,-126.00,37.09
-203.000000,-126.000000,-125.000000,-166.000000,-126.000000,-166.00,-126.00,-149.20,-126.00,-126.00,-203.00,-125.00,34.78
-203.000000,-197.000000,-125.000000,-166.000000,-126.000000,-197.00,-126.00,-163.40,-166.00,-203.00,-203.00,-125.00,37.34
-203.000000,-197.000000,-125.000000,-166.000000,-126.000000,-197.00,-126.00,-163.40,-166.00,-203.00,-203.00,-125.00,37.34
-203.000000,-197.000000,-125.000000,-163.000000,-126.000000,-197.00,-126.00,-162.80,-163.00,-203.00,-203.00,-125.00,37.31
