Exe0-2BCU,Exe1-2BCU,Exe3-2BCU,Exe2-2BCU,Exe4-2BCU,q1,q3,mean,median,mode,min,max,sstdev
384,315,306,311,354,311.00,354.00,334.00,315.00,306.00,306.00,384.00,33.82
-472.000000,-406.000000,-554.000000,-401.000000,-210.000000,-472.00,-401.00,-408.60,-406.00,-554.00,-554.00,-210.00,127.15
-397.000000,-298.000000,-411.000000,-315.000000,-209.000000,-397.00,-298.00,-326.00,-315.00,-411.00,-411.00,-209.00,81.95
-396.000000,-298.000000,-445.000000,-315.000000,-209.000000,-396.00,-298.00,-332.60,-315.00,-445.00,-445.00,-209.00,91.43
-396.000000,-366.000000,-381.000000,-315.000000,-209.000000,-381.00,-315.00,-333.40,-366.00,-396.00,-396.00,-209.00,75.93
-258.000000,-229.000000,-380.000000,-299.000000,-207.000000,-299.00,-229.00,-274.60,-258.00,-380.00,-380.00,-207.00,68.24
-396.000000,-211.000000,-389.000000,-377.000000,-207.000000,-389.00,-211.00,-316.00,-377.00,-396.00,-396.00,-207.00,97.92
-396.000000,-209.000000,-375.000000,-381.000000,-207.000000,-381.00,-209.00,-313.60,-375.00,-396.00,-396.00,-207.00,96.70
-396.000000,-208.000000,-304.000000,-298.000000,-207.000000,-304.00,-208.00,-282.60,-298.00,-396.00,-396.00,-207.00,78.80
-396.000000,-209.000000,-230.000000,-299.000000,-207.000000,-299.00,-209.00,-268.20,-230.00,-396.00,-396.00,-207.00,80.61
-303.000000,-207.000000,-224.000000,-297.000000,-207.000000,-297.00,-207.00,-247.60,-224.00,-207.00,-303.00,-207.00,48.38
-297.000000,-207.000000,-289.000000,-298.000000,-207.000000,-297.00,-207.00,-259.60,-289.00,-207.00,-298.00,-207.00,48.14
-299.000000,-209.000000,-290.000000,-298.000000,-207.000000,-298.00,-209.00,-260.60,-290.00,-299.00,-299.00,-207.00,48.15
-297.000000,-202.000000,-214.000000,-296.000000,-207.000000,-296.00,-207.00,-243.20,-214.00,-297.00,-297.00,-202.00,48.84
-296.000000,-168.000000,-217.000000,-298.000000,-207.000000,-296.00,-207.00,-237.20,-217.00,-298.00,-298.00,-168.00,57.58
-297.000000,-209.000000,-208.000000,-296.000000,-207.000000,-296.00,-208.00,-243.40,-209.00,-297.00,-297.00,-207.00,48.48
-297.000000,-209.000000,-207.000000,-296.000000,-207.000000,-296.00,-207.00,-243.20,-209.00,-207.00,-297.00,-207.00,48.66
-297.000000,-209.000000,-207.000000,-296.000000,-207.000000,-296.00,-207.00,-243.20,-209.00,-207.00,-297.00,-207.00,48.66
-297.000000,-209.000000,-255.000000,-296.000000,-206.000000,-296.00,-209.00,-252.60,-255.00,-297.00,-297.00,-206.00,44.53
-274.000000,-209.000000,-229.000000,-292.000000,-206.000000,-274.00,-209.00,-242.00,-229.00,-292.00,-292.00,-206.00,38.98
-267.000000,-209.000000,-230.000000,-296.000000,-206.000000,-267.00,-209.00,-241.60,-230.00,-296.00,-296.00,-206.00,38.95
-276.000000,-209.000000,-219.000000,-292.000000,-206.000000,-276.00,-209.00,-240.40,-219.00,-292.00,-292.00,-206.00,40.49
-212.000000,-209.000000,-218.000000,-292.000000,-206.000000,-218.00,-209.00,-227.40,-212.00,-292.00,-292.00,-206.00,36.38
-190.000000,-209.000000,-227.000000,-292.000000,-206.000000,-227.00,-206.00,-224.80,-209.00,-292.00,-292.00,-190.00,39.80
-190.000000,-209.000000,-219.000000,-292.000000,-206.000000,-219.00,-206.00,-223.20,-209.00,-292.00,-292.00,-190.00,39.85
-166.000000,-209.000000,-219.000000,-292.000000,-206.000000,-219.00,-206.00,-218.40,-209.00,-292.00,-292.00,-166.00,45.84
-169.000000,-207.000000,-218.000000,-292.000000,-127.000000,-218.00,-169.00,-202.60,-207.00,-292.00,-292.00,-127.00,61.43
-169.000000,-207.000000,-212.000000,-243.000000,-129.000000,-212.00,-169.00,-192.00,-207.00,-243.00,-243.00,-129.00,43.94
-169.000000,-209.000000,-211.000000,-243.000000,-131.000000,-211.00,-169.00,-192.60,-209.00,-243.00,-243.00,-131.00,43.30
-169.000000,-209.000000,-212.000000,-291.000000,-128.000000,-212.00,-169.00,-201.80,-209.00,-291.00,-291.00,-128.00,60.49
-169.000000,-209.000000,-210.000000,-292.000000,-128.000000,-210.00,-169.00,-201.60,-209.00,-292.00,-292.00,-128.00,60.78
-169.000000,-209.000000,-208.000000,-292.000000,-128.000000,-209.00,-169.00,-201.20,-208.00,-292.00,-292.00,-128.00,60.72
-169.000000,-208.000000,-207.000000,-218.000000,-129.000000,-208.00,-169.00,-186.20,-207.00,-218.00,-218.00,-129.00,37.04
-166.000000,-208.000000,-205.000000,-210.000000,-129.000000,-208.00,-166.00,-183.60,-205.00,-210.00,-210.00,-129.00,35.50
-169.000000,-204.000000,-207.000000,-208.000000,-135.000000,-207.00,-169.00,-184.60,-204.00,-208.00,-208.00,-135.00,32.13
-169.000000,-209.000000,-181.000000,-212.000000,-135.000000,-209.00,-169.00,-181.20,-181.00,-212.00,-212.00,-135.00,31.64
-169.000000,-209.000000,-207.000000,-223.000000,-134.000000,-209.00,-169.00,-188.40,-207.00,-223.00,-223.00,-134.00,36.41
-166.000000,-209.000000,-207.000000,-221.000000,-143.000000,-209.00,-166.00,-189.20,-207.00,-221.00,-221.00,-143.00,33.14
-166.000000,-173.000000,-168.000000,-207.000000,-143.000000,-173.00,-166.00,-171.40,-168.00,-207.00,-207.00,-143.00,23.01
-167.000000,-209.000000,-166.000000,-207.000000,-143.000000,-207.00,-166.00,-178.40,-167.00,-209.00,-209.00,-143.00,28.68
-167.000000,-209.000000,-164.000000,-210.000000,-128.000000,-209.00,-164.00,-175.60,-167.00,-210.00,-210.00,-128.00,34.54
-169.000000,-209.000000,-164.000000,-210.000000,-129.000000,-209.00,-164.00,-176.20,-169.00,-210.00,-210.00,-129.00,34.08
-169.000000,-205.000000,-164.000000,-207.000000,-129.000000,-205.00,-164.00,-174.80,-169.00,-207.00,-207.00,-129.00,32.39
-169.000000,-209.000000,-164.000000,-207.000000,-129.000000,-207.00,-164.00,-175.60,-169.00,-209.00,-209.00,-129.00,33.36
-169.000000,-209.000000,-152.000000,-207.000000,-128.000000,-207.00,-152.00,-173.00,-169.00,-209.00,-209.00,-128.00,35.12
-169.000000,-209.000000,-164.000000,-207.000000,-129.000000,-207.00,-164.00,-175.60,-169.00,-209.00,-209.00,-129.00,33.36
-169.000000,-209.000000,-164.000000,-207.000000,-129.000000,-207.00,-164.00,-175.60,-169.00,-209.00,-209.00,-129.00,33.36
-168.000000,-209.000000,-164.000000,-208.000000,-129.000000,-208.00,-164.00,-175.60,-168.00,-209.00,-209.00,-129.00,33.65
-167.000000,-196.000000,-164.000000,-207.000000,-129.000000,-196.00,-164.00,-172.60,-167.00,-207.00,-207.00,-129.00,30.57
-168.000000,-139.000000,-132.000000,-209.000000,-128.000000,-168.00,-132.00,-155.20,-139.00,-209.00,-209.00,-128.00,33.91
-172.000000,-134.000000,-144.000000,-206.000000,-129.000000,-172.00,-134.00,-157.00,-144.00,-206.00,-206.00,-129.00,32.05
-171.000000,-204.000000,-164.000000,-207.000000,-128.000000,-204.00,-164.00,-174.80,-171.00,-207.00,-207.00,-128.00,32.45
-206.000000,-204.000000,-143.000000,-207.000000,-129.000000,-206.00,-143.00,-177.80,-204.00,-207.00,-207.00,-129.00,38.49
-171.000000,-199.000000,-136.000000,-207.000000,-124.000000,-199.00,-136.00,-167.40,-171.00,-207.00,-207.00,-124.00,36.91
-175.000000,-199.000000,-136.000000,-207.000000,-129.000000,-199.00,-136.00,-169.20,-175.00,-207.00,-207.00,-129.00,35.60
-169.000000,-202.000000,-136.000000,-206.000000,-128.000000,-202.00,-136.00,-168.20,-169.00,-206.00,-206.00,-128.00,36.14
-170.000000,-204.000000,-136.000000,-206.000000,-129.000000,-204.00,-136.00,-169.00,-170.00,-206.00,-206.00,-129.00,36.35
-209.000000,-123.000000,-136.000000,-197.000000,-128.000000,-197.00,-128.00,-158.60,-136.00,-209.00,-209.00,-123.00,41.02
-140.000000,-128.000000,-160.000000,-206.000000,-129.000000,-160.00,-129.00,-152.60,-140.00,-206.00,-206.00,-128.00,32.51
-174.000000,-204.000000,-136.000000,-206.000000,-127.000000,-204.00,-136.00,-169.40,-174.00,-206.00,-206.00,-127.00,36.98
-203.000000,-176.000000,-136.000000,-206.000000,-128.000000,-203.00,-136.00,-169.80,-176.00,-206.00,-206.00,-128.00,36.54
-207.000000,-169.000000,-136.000000,-200.000000,-128.000000,-200.00,-136.00,-168.00,-169.00,-207.00,-207.00,-128.00,35.95
-173.000000,-166.000000,-164.000000,-205.000000,-128.000000,-173.00,-164.00,-167.20,-166.00,-205.00,-205.00,-128.00,27.44
-185.000000,-165.000000,-136.000000,-205.000000,-128.000000,-185.00,-136.00,-163.80,-165.00,-205.00,-205.00,-128.00,32.41
-170.000000,-154.000000,-136.000000,-203.000000,-129.000000,-170.00,-136.00,-158.40,-154.00,-203.00,-203.00,-129.00,29.62
-172.000000,-165.000000,-159.000000,-191.000000,-128.000000,-172.00,-159.00,-163.00,-165.00,-191.00,-191.00,-128.00,22.97
-171.000000,-162.000000,-162.000000,-203.000000,-129.000000,-171.00,-162.00,-165.40,-162.00,-162.00,-203.00,-129.00,26.43
-168.000000,-161.000000,-160.000000,-203.000000,-128.000000,-168.00,-160.00,-164.00,-161.00,-203.00,-203.00,-128.00,26.73
-172.000000,-164.000000,-136.000000,-200.000000,-129.000000,-172.00,-136.00,-160.20,-164.00,-200.00,-200.00,-129.00,28.71
-154.000000,-161.000000,-162.000000,-198.000000,-128.000000,-162.00,-154.00,-160.60,-161.00,-198.00,-198.00,-128.00,25.04
-172.000000,-164.000000,-162.000000,-205.000000,-129.000000,-172.00,-162.00,-166.40,-164.00,-205.00,-205.00,-129.00,27.13
-170.000000,-146.000000,-150.000000,-205.000000,-128.000000,-170.00,-146.00,-159.80,-150.00,-205.00,-205.00,-128.00,29.35
-181.000000,-145.000000,-132.000000,-137.000000,-129.000000,-145.00,-132.00,-144.80,-137.00,-181.00,-181.00,-129.00,21.12
-168.000000,-145.000000,-126.000000,-196.000000,-128.000000,-168.00,-128.00,-152.60,-145.00,-196.00,-196.00,-126.00,29.54
-168.000000,-164.000000,-129.000000,-124.000000,-129.000000,-164.00,-129.00,-142.80,-129.00,-129.00,-168.00,-124.00,21.32
-171.000000,-161.000000,-127.000000,-205.000000,-128.000000,-171.00,-128.00,-158.40,-161.00,-205.00,-205.00,-127.00,32.59
-206.000000,-162.000000,-129.000000,-205.000000,-129.000000,-205.00,-129.00,-166.20,-162.00,-129.00,-206.00,-129.00,38.32
-168.000000,-156.000000,-127.000000,-203.000000,-128.000000,-168.00,-128.00,-156.40,-156.00,-203.00,-203.00,-127.00,31.53
-166.000000,-162.000000,-129.000000,-201.000000,-129.000000,-166.00,-129.00,-157.40,-162.00,-129.00,-201.00,-129.00,30.04
-168.000000,-163.000000,-129.000000,-206.000000,-128.000000,-168.00,-129.00,-158.80,-163.00,-206.00,-206.00,-128.00,32.28
-166.000000,-163.000000,-130.000000,-203.000000,-129.000000,-166.00,-130.00,-158.20,-163.00,-203.00,-203.00,-129.00,30.57
-166.000000,-139.000000,-130.000000,-203.000000,-128.000000,-166.00,-130.00,-153.20,-139.00,-203.00,-203.00,-128.00,31.70
-165.000000,-156.000000,-128.000000,-203.000000,-129.000000,-165.00,-129.00,-156.20,-156.00,-203.00,-203.00,-128.00,30.83
-165.000000,-146.000000,-130.000000,-200.000000,-128.000000,-165.00,-130.00,-153.80,-146.00,-200.00,-200.00,-128.00,29.80
-165.000000,-137.000000,-134.000000,-203.000000,-129.000000,-165.00,-134.00,-153.60,-137.00,-203.00,-203.00,-129.00,30.96
-165.000000,-162.000000,-129.000000,-203.000000,-128.000000,-165.00,-129.00,-157.40,-162.00,-203.00,-203.00,-128.00,30.94
-165.000000,-160.000000,-135.000000,-203.000000,-129.000000,-165.00,-135.00,-158.40,-160.00,-203.00,-203.00,-129.00,29.36
-165.000000,-135.000000,-128.000000,-203.000000,-128.000000,-165.00,-128.00,-151.80,-135.00,-128.00,-203.00,-128.00,32.45
-165.000000,-140.000000,-129.000000,-198.000000,-129.000000,-165.00,-129.00,-152.20,-140.00,-129.00,-198.00,-129.00,29.52
-165.000000,-140.000000,-129.000000,-205.000000,-128.000000,-165.00,-129.00,-153.40,-140.00,-205.00,-205.00,-128.00,32.47
-165.000000,-140.000000,-129.000000,-205.000000,-126.000000,-165.00,-129.00,-153.00,-140.00,-205.00,-205.00,-126.00,32.87
-165.000000,-140.000000,-131.000000,-205.000000,-131.000000,-165.00,-131.00,-154.40,-140.00,-131.00,-205.00,-131.00,31.52
-165.000000,-140.000000,-129.000000,-204.000000,-126.000000,-165.00,-129.00,-152.80,-140.00,-204.00,-204.00,-126.00,32.48
-165.000000,-140.000000,-131.000000,-203.000000,-127.000000,-165.00,-131.00,-153.20,-140.00,-203.00,-203.00,-127.00,31.52
-138.000000,-140.000000,-127.000000,-203.000000,-126.000000,-140.00,-127.00,-146.80,-138.00,-203.00,-203.00,-126.00,32.04
-165.000000,-137.000000,-129.000000,-203.000000,-125.000000,-165.00,-129.00,-151.80,-137.00,-203.00,-203.00,-125.00,32.61
-165.000000,-135.000000,-129.000000,-203.000000,-125.000000,-165.00,-129.00,-151.40,-135.00,-203.00,-203.00,-125.00,32.85
