Exe1-8CCU,Exe0-8CCU,Exe2-8CCU,Exe3-8CCU,Exe4-8CCU,q1,q3,mean,median,mode,min,max,sstdev
302,220,258,255,259,255.00,259.00,258.80,258.00,220.00,220.00,302.00,29.10
-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,-1002.00,0.00
-154.000000,-1002.000000,-1002.000000,-930.000000,-1002.000000,-1002.00,-930.00,-818.00,-1002.00,-1002.00,-1002.00,-154.00,372.49
-754.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-952.40,-1002.00,-1002.00,-1002.00,-754.00,110.91
-754.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-952.40,-1002.00,-1002.00,-1002.00,-754.00,110.91
-362.000000,-786.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-786.00,-830.80,-1002.00,-1002.00,-1002.00,-362.00,278.26
-754.000000,-1002.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-952.40,-1002.00,-1002.00,-1002.00,-754.00,110.91
-754.000000,-1002.000000,-386.000000,-1002.000000,-1002.000000,-1002.00,-754.00,-829.20,-1002.00,-1002.00,-1002.00,-386.00,270.03
-754.000000,-1002.000000,-377.000000,-1002.000000,-1002.000000,-1002.00,-754.00,-827.40,-1002.00,-1002.00,-1002.00,-377.00,273.73
-639.000000,-1002.000000,-303.000000,-1002.000000,-1002.000000,-1002.00,-639.00,-789.60,-1002.00,-1002.00,-1002.00,-303.00,314.17
-139.000000,-1002.000000,-1002.000000,-1002.000000,-490.000000,-1002.00,-490.00,-727.00,-1002.00,-1002.00,-1002.00,-139.00,396.48
-1002.000000,-618.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-925.20,-1002.00,-1002.00,-1002.00,-618.00,171.73
-679.000000,-717.000000,-1002.000000,-1002.000000,-1002.000000,-1002.00,-717.00,-880.40,-1002.00,-1002.00,-1002.00,-679.00,167.05
-679.000000,-717.000000,-476.000000,-1002.000000,-1002.000000,-1002.00,-679.00,-775.20,-717.00,-1002.00,-1002.00,-476.00,226.41
-1002.000000,-717.000000,-896.000000,-1002.000000,-1002.000000,-1002.00,-896.00,-923.80,-1002.00,-1002.00,-1002.00,-717.00,124.38
-1002.000000,-717.000000,-741.000000,-1002.000000,-1002.000000,-1002.00,-741.00,-892.80,-1002.00,-1002.00,-1002.00,-717.00,149.77
-1002.000000,-1002.000000,-175.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-836.60,-1002.00,-1002.00,-1002.00,-175.00,369.85
-1002.000000,-1002.000000,-174.000000,-1002.000000,-1002.000000,-1002.00,-1002.00,-836.40,-1002.00,-1002.00,-1002.00,-174.00,370.29
-1002.000000,-507.000000,-172.000000,-1002.000000,-1002.000000,-1002.00,-507.00,-737.00,-1002.00,-1002.00,-1002.00,-172.00,381.71
-1002.000000,-507.000000,-175.000000,-1002.000000,-1002.000000,-1002.00,-507.00,-737.60,-1002.00,-1002.00,-1002.00,-175.00,380.60
-1002.000000,-503.000000,-173.000000,-1002.000000,-1002.000000,-1002.00,-503.00,-736.40,-1002.00,-1002.00,-1002.00,-173.00,381.94
-1002.000000,-503.000000,-174.000000,-1002.000000,-1002.000000,-1002.00,-503.00,-736.60,-1002.00,-1002.00,-1002.00,-174.00,381.58
-176.000000,-503.000000,-136.000000,-1002.000000,-1002.000000,-1002.00,-176.00,-563.80,-503.00,-1002.00,-1002.00,-136.00,424.60
-176.000000,-1002.000000,-173.000000,-176.000000,-1002.000000,-1002.00,-176.00,-505.80,-176.00,-1002.00,-1002.00,-173.00,452.97
-141.000000,-1002.000000,-173.000000,-174.000000,-286.000000,-286.00,-173.00,-355.20,-174.00,-1002.00,-1002.00,-141.00,365.74
-141.000000,-1002.000000,-136.000000,-174.000000,-718.000000,-718.00,-141.00,-434.20,-174.00,-1002.00,-1002.00,-136.00,401.73
-141.000000,-1002.000000,-175.000000,-138.000000,-718.000000,-718.00,-141.00,-434.80,-175.00,-1002.00,-1002.00,-138.00,401.19
-141.000000,-1002.000000,-135.000000,-132.000000,-445.000000,-445.00,-135.00,-371.00,-141.00,-1002.00,-1002.00,-132.00,377.28
-141.000000,-1002.000000,-174.000000,-131.000000,-440.000000,-440.00,-141.00,-377.60,-174.00,-1002.00,-1002.00,-131.00,371.49
