Exe2-ConfThread1,Exe3-ConfThread1,Exe4-ConfThread1,Exe1-ConfThread1,Exe0-ConfThread1,q1,q3,mean,median,mode,min,max,sstdev
-162.000000,-161.000000,-197.000000,-148.000000,-130.000000,-162.00,-148.00,-159.60,-161.00,-197.00,-197.00,-130.00,24.58
-161.000000,-160.000000,-197.000000,-148.000000,-130.000000,-161.00,-148.00,-159.20,-160.00,-197.00,-197.00,-130.00,24.55
-161.000000,-160.000000,-197.000000,-149.000000,-130.000000,-161.00,-149.00,-159.40,-160.00,-197.00,-197.00,-130.00,24.44
-161.000000,-160.000000,-197.000000,-149.000000,-130.000000,-161.00,-149.00,-159.40,-160.00,-197.00,-197.00,-130.00,24.44
-161.000000,-160.000000,-196.000000,-148.000000,-130.000000,-161.00,-148.00,-159.00,-160.00,-196.00,-196.00,-130.00,24.17
-160.000000,-160.000000,-196.000000,-149.000000,-130.000000,-160.00,-149.00,-159.00,-160.00,-160.00,-196.00,-130.00,24.04
-159.000000,-160.000000,-196.000000,-149.000000,-129.000000,-160.00,-149.00,-158.60,-159.00,-196.00,-196.00,-129.00,24.34
-159.000000,-160.000000,-196.000000,-150.000000,-129.000000,-160.00,-150.00,-158.80,-159.00,-196.00,-196.00,-129.00,24.24
-159.000000,-160.000000,-196.000000,-150.000000,-129.000000,-160.00,-150.00,-158.80,-159.00,-196.00,-196.00,-129.00,24.24
-159.000000,-160.000000,-196.000000,-149.000000,-129.000000,-160.00,-149.00,-158.60,-159.00,-196.00,-196.00,-129.00,24.34
-159.000000,-160.000000,-196.000000,-149.000000,-129.000000,-160.00,-149.00,-158.60,-159.00,-196.00,-196.00,-129.00,24.34
-159.000000,-160.000000,-195.000000,-149.000000,-129.000000,-160.00,-149.00,-158.40,-159.00,-195.00,-195.00,-129.00,23.95
-159.000000,-160.000000,-195.000000,-149.000000,-129.000000,-160.00,-149.00,-158.40,-159.00,-195.00,-195.00,-129.00,23.95
-159.000000,-160.000000,-195.000000,-149.000000,-129.000000,-160.00,-149.00,-158.40,-159.00,-195.00,-195.00,-129.00,23.95
-159.000000,-160.000000,-195.000000,-149.000000,-129.000000,-160.00,-149.00,-158.40,-159.00,-195.00,-195.00,-129.00,23.95
-159.000000,-160.000000,-193.000000,-146.000000,-129.000000,-160.00,-146.00,-157.40,-159.00,-193.00,-193.00,-129.00,23.52
-159.000000,-160.000000,-191.000000,-146.000000,-129.000000,-160.00,-146.00,-157.00,-159.00,-191.00,-191.00,-129.00,22.77
-159.000000,-158.000000,-191.000000,-147.000000,-129.000000,-159.00,-147.00,-156.80,-158.00,-191.00,-191.00,-129.00,22.61
-159.000000,-158.000000,-191.000000,-146.000000,-129.000000,-159.00,-146.00,-156.60,-158.00,-191.00,-191.00,-129.00,22.72
-159.000000,-158.000000,-191.000000,-147.000000,-129.000000,-159.00,-147.00,-156.80,-158.00,-191.00,-191.00,-129.00,22.61
-159.000000,-158.000000,-191.000000,-146.000000,-129.000000,-159.00,-146.00,-156.60,-158.00,-191.00,-191.00,-129.00,22.72
-159.000000,-158.000000,-191.000000,-147.000000,-129.000000,-159.00,-147.00,-156.80,-158.00,-191.00,-191.00,-129.00,22.61
-159.000000,-158.000000,-191.000000,-146.000000,-129.000000,-159.00,-146.00,-156.60,-158.00,-191.00,-191.00,-129.00,22.72
-159.000000,-158.000000,-191.000000,-146.000000,-129.000000,-159.00,-146.00,-156.60,-158.00,-191.00,-191.00,-129.00,22.72
-159.000000,-158.000000,-191.000000,-146.000000,-129.000000,-159.00,-146.00,-156.60,-158.00,-191.00,-191.00,-129.00,22.72
-157.000000,-158.000000,-191.000000,-146.000000,-129.000000,-158.00,-146.00,-156.20,-157.00,-191.00,-191.00,-129.00,22.69
-157.000000,-158.000000,-191.000000,-146.000000,-129.000000,-158.00,-146.00,-156.20,-157.00,-191.00,-191.00,-129.00,22.69
-157.000000,-154.000000,-191.000000,-146.000000,-129.000000,-157.00,-146.00,-155.40,-154.00,-191.00,-191.00,-129.00,22.68
-157.000000,-154.000000,-191.000000,-146.000000,-129.000000,-157.00,-146.00,-155.40,-154.00,-191.00,-191.00,-129.00,22.68
-157.000000,-154.000000,-191.000000,-146.000000,-128.000000,-157.00,-146.00,-155.20,-154.00,-191.00,-191.00,-128.00,22.97
-157.000000,-154.000000,-190.000000,-146.000000,-128.000000,-157.00,-146.00,-155.00,-154.00,-190.00,-190.00,-128.00,22.58
-157.000000,-136.000000,-190.000000,-146.000000,-128.000000,-157.00,-136.00,-151.40,-146.00,-190.00,-190.00,-128.00,24.16
-157.000000,-135.000000,-190.000000,-146.000000,-128.000000,-157.00,-135.00,-151.20,-146.00,-190.00,-190.00,-128.00,24.32
-157.000000,-135.000000,-190.000000,-146.000000,-128.000000,-157.00,-135.00,-151.20,-146.00,-190.00,-190.00,-128.00,24.32
-157.000000,-135.000000,-190.000000,-146.000000,-128.000000,-157.00,-135.00,-151.20,-146.00,-190.00,-190.00,-128.00,24.32
-157.000000,-135.000000,-190.000000,-146.000000,-128.000000,-157.00,-135.00,-151.20,-146.00,-190.00,-190.00,-128.00,24.32
-157.000000,-135.000000,-189.000000,-146.000000,-128.000000,-157.00,-135.00,-151.00,-146.00,-189.00,-189.00,-128.00,23.93
-157.000000,-135.000000,-189.000000,-146.000000,-128.000000,-157.00,-135.00,-151.00,-146.00,-189.00,-189.00,-128.00,23.93
