Exe1-8BCU,Exe0-8BCU,Exe4-8BCU,Exe2-8BCU,Exe3-8BCU,q1,q3,mean,median,mode,min,max,sstdev
229,275,227,224,219,224.00,229.00,234.80,227.00,219.00,219.00,275.00,22.79
-417.000000,-397.000000,-1002.000000,-802.000000,-260.000000,-802.00,-397.00,-575.60,-417.00,-1002.00,-1002.00,-260.00,312.14
-452.000000,-405.000000,-1002.000000,-395.000000,-167.000000,-452.00,-395.00,-484.20,-405.00,-1002.00,-1002.00,-167.00,309.84
-378.000000,-395.000000,-1002.000000,-233.000000,-173.000000,-395.00,-233.00,-436.20,-378.00,-1002.00,-1002.00,-173.00,330.07
-290.000000,-398.000000,-1002.000000,-222.000000,-168.000000,-398.00,-222.00,-416.00,-290.00,-1002.00,-1002.00,-168.00,338.65
-290.000000,-405.000000,-1002.000000,-222.000000,-170.000000,-405.00,-222.00,-417.80,-290.00,-1002.00,-1002.00,-170.00,338.20
-290.000000,-396.000000,-294.000000,-222.000000,-180.000000,-294.00,-222.00,-276.40,-290.00,-396.00,-396.00,-180.00,82.24
-290.000000,-381.000000,-294.000000,-164.000000,-168.000000,-294.00,-168.00,-259.40,-290.00,-381.00,-381.00,-164.00,92.70
-227.000000,-292.000000,-294.000000,-164.000000,-168.000000,-292.00,-168.00,-229.00,-227.00,-294.00,-294.00,-164.00,63.53
-227.000000,-292.000000,-294.000000,-164.000000,-168.000000,-292.00,-168.00,-229.00,-227.00,-294.00,-294.00,-164.00,63.53
-227.000000,-252.000000,-292.000000,-164.000000,-164.000000,-252.00,-164.00,-219.80,-227.00,-164.00,-292.00,-164.00,55.97
-208.000000,-252.000000,-222.000000,-164.000000,-168.000000,-222.00,-168.00,-202.80,-208.00,-252.00,-252.00,-164.00,37.19
-208.000000,-223.000000,-301.000000,-161.000000,-162.000000,-223.00,-162.00,-211.00,-208.00,-301.00,-301.00,-161.00,57.35
-208.000000,-222.000000,-241.000000,-163.000000,-166.000000,-222.00,-166.00,-200.00,-208.00,-241.00,-241.00,-163.00,34.47
-169.000000,-223.000000,-214.000000,-161.000000,-163.000000,-214.00,-163.00,-186.00,-169.00,-223.00,-223.00,-161.00,29.98
-208.000000,-211.000000,-218.000000,-161.000000,-163.000000,-211.00,-163.00,-192.20,-208.00,-218.00,-218.00,-161.00,27.82
-208.000000,-214.000000,-218.000000,-164.000000,-153.000000,-214.00,-164.00,-191.40,-208.00,-218.00,-218.00,-153.00,30.49
-208.000000,-210.000000,-295.000000,-162.000000,-164.000000,-210.00,-164.00,-207.80,-208.00,-295.00,-295.00,-162.00,53.91
-200.000000,-210.000000,-295.000000,-163.000000,-162.000000,-210.00,-163.00,-206.00,-200.00,-295.00,-295.00,-162.00,54.22
-208.000000,-210.000000,-223.000000,-164.000000,-164.000000,-210.00,-164.00,-193.80,-208.00,-164.00,-223.00,-164.00,27.81
-208.000000,-170.000000,-214.000000,-164.000000,-166.000000,-208.00,-166.00,-184.40,-170.00,-214.00,-214.00,-164.00,24.47
-208.000000,-206.000000,-230.000000,-164.000000,-143.000000,-208.00,-164.00,-190.20,-206.00,-230.00,-230.00,-143.00,35.58
-208.000000,-206.000000,-223.000000,-162.000000,-164.000000,-208.00,-164.00,-192.60,-206.00,-223.00,-223.00,-162.00,27.82
-204.000000,-206.000000,-220.000000,-164.000000,-155.000000,-206.00,-164.00,-189.80,-204.00,-220.00,-220.00,-155.00,28.52
-204.000000,-206.000000,-219.000000,-164.000000,-164.000000,-206.00,-164.00,-191.40,-204.00,-164.00,-219.00,-164.00,25.67
-204.000000,-206.000000,-223.000000,-164.000000,-139.000000,-206.00,-164.00,-187.20,-204.00,-223.00,-223.00,-139.00,34.56
-204.000000,-206.000000,-211.000000,-160.000000,-140.000000,-206.00,-160.00,-184.20,-204.00,-211.00,-211.00,-140.00,32.11
-204.000000,-206.000000,-167.000000,-156.000000,-147.000000,-204.00,-156.00,-176.00,-167.00,-206.00,-206.00,-147.00,27.41
-204.000000,-181.000000,-171.000000,-162.000000,-165.000000,-181.00,-165.00,-176.60,-171.00,-204.00,-204.00,-162.00,16.95
-151.000000,-206.000000,-165.000000,-164.000000,-165.000000,-165.00,-164.00,-170.20,-165.00,-165.00,-206.00,-151.00,20.87
-151.000000,-204.000000,-168.000000,-162.000000,-164.000000,-168.00,-162.00,-169.80,-164.00,-204.00,-204.00,-151.00,20.13
-151.000000,-201.000000,-165.000000,-164.000000,-143.000000,-165.00,-151.00,-164.80,-164.00,-201.00,-201.00,-143.00,22.23
-151.000000,-201.000000,-165.000000,-159.000000,-139.000000,-165.00,-151.00,-163.00,-159.00,-201.00,-201.00,-139.00,23.37
-151.000000,-171.000000,-167.000000,-163.000000,-166.000000,-167.00,-163.00,-163.60,-166.00,-171.00,-171.00,-151.00,7.60
-151.000000,-201.000000,-166.000000,-160.000000,-141.000000,-166.00,-151.00,-163.80,-160.00,-201.00,-201.00,-141.00,22.84
-151.000000,-176.000000,-167.000000,-161.000000,-165.000000,-167.00,-161.00,-164.00,-165.00,-176.00,-176.00,-151.00,9.11
-150.000000,-201.000000,-164.000000,-163.000000,-158.000000,-164.00,-158.00,-167.20,-163.00,-201.00,-201.00,-150.00,19.69
-150.000000,-188.000000,-165.000000,-163.000000,-153.000000,-165.00,-153.00,-163.80,-163.00,-188.00,-188.00,-150.00,14.96
-150.000000,-201.000000,-166.000000,-160.000000,-136.000000,-166.00,-150.00,-162.60,-160.00,-201.00,-201.00,-136.00,24.29
-150.000000,-184.000000,-167.000000,-163.000000,-150.000000,-167.00,-150.00,-162.80,-163.00,-150.00,-184.00,-150.00,14.10
-150.000000,-201.000000,-166.000000,-161.000000,-146.000000,-166.00,-150.00,-164.80,-161.00,-201.00,-201.00,-146.00,21.79
-150.000000,-201.000000,-167.000000,-161.000000,-145.000000,-167.00,-150.00,-164.80,-161.00,-201.00,-201.00,-145.00,22.03
-150.000000,-201.000000,-164.000000,-163.000000,-138.000000,-164.00,-150.00,-163.20,-163.00,-201.00,-201.00,-138.00,23.66
-150.000000,-201.000000,-129.000000,-130.000000,-136.000000,-150.00,-130.00,-149.20,-136.00,-201.00,-201.00,-129.00,30.14
-150.000000,-175.000000,-128.000000,-161.000000,-134.000000,-161.00,-134.00,-149.60,-150.00,-175.00,-175.00,-128.00,19.27
-150.000000,-151.000000,-128.000000,-163.000000,-135.000000,-151.00,-135.00,-145.40,-150.00,-163.00,-163.00,-128.00,13.90
-150.000000,-151.000000,-128.000000,-149.000000,-163.000000,-151.00,-149.00,-148.20,-150.00,-163.00,-163.00,-128.00,12.64
-150.000000,-151.000000,-128.000000,-162.000000,-154.000000,-154.00,-150.00,-149.00,-151.00,-162.00,-162.00,-128.00,12.65
-150.000000,-151.000000,-128.000000,-163.000000,-139.000000,-151.00,-139.00,-146.20,-150.00,-163.00,-163.00,-128.00,13.26
-150.000000,-151.000000,-128.000000,-158.000000,-161.000000,-158.00,-150.00,-149.60,-151.00,-161.00,-161.00,-128.00,12.93
-150.000000,-151.000000,-128.000000,-163.000000,-139.000000,-151.00,-139.00,-146.20,-150.00,-163.00,-163.00,-128.00,13.26
-134.000000,-150.000000,-129.000000,-132.000000,-142.000000,-142.00,-132.00,-137.40,-134.00,-150.00,-150.00,-129.00,8.53
-150.000000,-150.000000,-128.000000,-163.000000,-141.000000,-150.00,-141.00,-146.40,-150.00,-150.00,-163.00,-128.00,12.93
-150.000000,-150.000000,-164.000000,-162.000000,-141.000000,-162.00,-150.00,-153.40,-150.00,-150.00,-164.00,-141.00,9.53
-150.000000,-150.000000,-128.000000,-161.000000,-160.000000,-160.00,-150.00,-149.80,-150.00,-150.00,-161.00,-128.00,13.27
-150.000000,-150.000000,-128.000000,-161.000000,-138.000000,-150.00,-138.00,-145.40,-150.00,-150.00,-161.00,-128.00,12.68
-150.000000,-132.000000,-128.000000,-161.000000,-160.000000,-160.00,-132.00,-146.20,-150.00,-161.00,-161.00,-128.00,15.47
-151.000000,-132.000000,-128.000000,-162.000000,-141.000000,-151.00,-132.00,-142.80,-141.00,-162.00,-162.00,-128.00,13.92
-150.000000,-132.000000,-128.000000,-161.000000,-135.000000,-150.00,-132.00,-141.20,-135.00,-161.00,-161.00,-128.00,13.85
-144.000000,-201.000000,-128.000000,-160.000000,-136.000000,-160.00,-136.00,-153.80,-144.00,-201.00,-201.00,-128.00,28.92
-150.000000,-201.000000,-128.000000,-128.000000,-139.000000,-150.00,-128.00,-149.20,-139.00,-128.00,-201.00,-128.00,30.36
-150.000000,-197.000000,-166.000000,-162.000000,-141.000000,-166.00,-150.00,-163.20,-162.00,-197.00,-197.00,-141.00,21.32
-150.000000,-201.000000,-162.000000,-162.000000,-139.000000,-162.00,-150.00,-162.80,-162.00,-162.00,-201.00,-139.00,23.40
-150.000000,-201.000000,-128.000000,-128.000000,-135.000000,-150.00,-128.00,-148.40,-135.00,-128.00,-201.00,-128.00,30.75
-150.000000,-133.000000,-128.000000,-161.000000,-138.000000,-150.00,-133.00,-142.00,-138.00,-161.00,-161.00,-128.00,13.40
-160.000000,-130.000000,-128.000000,-158.000000,-139.000000,-158.00,-130.00,-143.00,-139.00,-160.00,-160.00,-128.00,15.20
-162.000000,-130.000000,-128.000000,-138.000000,-137.000000,-138.00,-130.00,-139.00,-137.00,-162.00,-162.00,-128.00,13.56
