Exe2-ConfThread1,Exe3-ConfThread1,Exe4-ConfThread1,Exe1-ConfThread1,Exe0-ConfThread1,q1,q3,mean,median,mode,min,max,sstdev
-118.000000,-117.000000,-112.000000,-132.000000,-121.000000,-121.00,-117.00,-120.00,-118.00,-132.00,-132.00,-112.00,7.45
-118.000000,-117.000000,-110.000000,-132.000000,-121.000000,-121.00,-117.00,-119.60,-118.00,-132.00,-132.00,-110.00,8.02
-118.000000,-117.000000,-110.000000,-132.000000,-121.000000,-121.00,-117.00,-119.60,-118.00,-132.00,-132.00,-110.00,8.02
-118.000000,-117.000000,-110.000000,-132.000000,-121.000000,-121.00,-117.00,-119.60,-118.00,-132.00,-132.00,-110.00,8.02
-118.000000,-117.000000,-110.000000,-132.000000,-121.000000,-121.00,-117.00,-119.60,-118.00,-132.00,-132.00,-110.00,8.02
-118.000000,-117.000000,-110.000000,-132.000000,-121.000000,-121.00,-117.00,-119.60,-118.00,-132.00,-132.00,-110.00,8.02
-116.000000,-117.000000,-110.000000,-132.000000,-121.000000,-121.00,-116.00,-119.20,-117.00,-132.00,-132.00,-110.00,8.17
-113.000000,-117.000000,-110.000000,-132.000000,-121.000000,-121.00,-113.00,-118.60,-117.00,-132.00,-132.00,-110.00,8.56
-110.000000,-115.000000,-110.000000,-132.000000,-121.000000,-121.00,-110.00,-117.60,-115.00,-110.00,-132.00,-110.00,9.24
-110.000000,-117.000000,-110.000000,-130.000000,-121.000000,-121.00,-110.00,-117.60,-117.00,-110.00,-130.00,-110.00,8.38
-110.000000,-117.000000,-110.000000,-130.000000,-121.000000,-121.00,-110.00,-117.60,-117.00,-110.00,-130.00,-110.00,8.38
-110.000000,-117.000000,-110.000000,-126.000000,-121.000000,-121.00,-110.00,-116.80,-117.00,-110.00,-126.00,-110.00,6.98
-110.000000,-113.000000,-111.000000,-125.000000,-121.000000,-121.00,-111.00,-116.00,-113.00,-125.00,-125.00,-110.00,6.63
-110.000000,-113.000000,-111.000000,-124.000000,-119.000000,-119.00,-111.00,-115.40,-113.00,-124.00,-124.00,-110.00,5.94
-110.000000,-113.000000,-112.000000,-125.000000,-119.000000,-119.00,-112.00,-115.80,-113.00,-125.00,-125.00,-110.00,6.14
-110.000000,-113.000000,-111.000000,-125.000000,-119.000000,-119.00,-111.00,-115.60,-113.00,-125.00,-125.00,-110.00,6.31
-110.000000,-113.000000,-111.000000,-122.000000,-119.000000,-119.00,-111.00,-115.00,-113.00,-122.00,-122.00,-110.00,5.24
-110.000000,-113.000000,-111.000000,-122.000000,-119.000000,-119.00,-111.00,-115.00,-113.00,-122.00,-122.00,-110.00,5.24
-109.000000,-113.000000,-111.000000,-122.000000,-119.000000,-119.00,-111.00,-114.80,-113.00,-122.00,-122.00,-109.00,5.50
-109.000000,-113.000000,-113.000000,-122.000000,-119.000000,-119.00,-113.00,-115.20,-113.00,-113.00,-122.00,-109.00,5.22
-109.000000,-113.000000,-113.000000,-122.000000,-119.000000,-119.00,-113.00,-115.20,-113.00,-113.00,-122.00,-109.00,5.22
-109.000000,-113.000000,-113.000000,-118.000000,-118.000000,-118.00,-113.00,-114.20,-113.00,-118.00,-118.00,-109.00,3.83
-109.000000,-113.000000,-113.000000,-118.000000,-118.000000,-118.00,-113.00,-114.20,-113.00,-118.00,-118.00,-109.00,3.83
-109.000000,-113.000000,-113.000000,-110.000000,-116.000000,-113.00,-110.00,-112.20,-113.00,-113.00,-116.00,-109.00,2.77
-109.000000,-113.000000,-113.000000,-110.000000,-116.000000,-113.00,-110.00,-112.20,-113.00,-113.00,-116.00,-109.00,2.77
-109.000000,-113.000000,-113.000000,-110.000000,-116.000000,-113.00,-110.00,-112.20,-113.00,-113.00,-116.00,-109.00,2.77
-109.000000,-113.000000,-113.000000,-110.000000,-116.000000,-113.00,-110.00,-112.20,-113.00,-113.00,-116.00,-109.00,2.77
-109.000000,-113.000000,-112.000000,-110.000000,-116.000000,-113.00,-110.00,-112.00,-112.00,-116.00,-116.00,-109.00,2.74
-109.000000,-113.000000,-108.000000,-110.000000,-116.000000,-113.00,-109.00,-111.20,-110.00,-116.00,-116.00,-108.00,3.27
-109.000000,-113.000000,-108.000000,-110.000000,-116.000000,-113.00,-109.00,-111.20,-110.00,-116.00,-116.00,-108.00,3.27
-109.000000,-113.000000,-108.000000,-110.000000,-116.000000,-113.00,-109.00,-111.20,-110.00,-116.00,-116.00,-108.00,3.27
-109.000000,-113.000000,-108.000000,-110.000000,-116.000000,-113.00,-109.00,-111.20,-110.00,-116.00,-116.00,-108.00,3.27
-107.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.60,-110.00,-107.00,-116.00,-107.00,3.91
-107.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.60,-110.00,-107.00,-116.00,-107.00,3.91
-107.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.60,-110.00,-107.00,-116.00,-107.00,3.91
-107.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.60,-110.00,-107.00,-116.00,-107.00,3.91
-106.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.40,-110.00,-116.00,-116.00,-106.00,4.16
-106.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.40,-110.00,-116.00,-116.00,-106.00,4.16
-106.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.40,-110.00,-116.00,-116.00,-106.00,4.16
-106.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.40,-110.00,-116.00,-116.00,-106.00,4.16
-106.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.40,-110.00,-116.00,-116.00,-106.00,4.16
-106.000000,-113.000000,-107.000000,-110.000000,-116.000000,-113.00,-107.00,-110.40,-110.00,-116.00,-116.00,-106.00,4.16
-106.000000,-111.000000,-107.000000,-110.000000,-116.000000,-111.00,-107.00,-110.00,-110.00,-116.00,-116.00,-106.00,3.94
-106.000000,-111.000000,-107.000000,-110.000000,-116.000000,-111.00,-107.00,-110.00,-110.00,-116.00,-116.00,-106.00,3.94
-106.000000,-111.000000,-107.000000,-110.000000,-115.000000,-111.00,-107.00,-109.80,-110.00,-115.00,-115.00,-106.00,3.56
-106.000000,-111.000000,-107.000000,-122.000000,-115.000000,-115.00,-107.00,-112.20,-111.00,-122.00,-122.00,-106.00,6.53
-106.000000,-111.000000,-107.000000,-118.000000,-115.000000,-115.00,-107.00,-111.40,-111.00,-118.00,-118.00,-106.00,5.13
-106.000000,-111.000000,-107.000000,-114.000000,-115.000000,-114.00,-107.00,-110.60,-111.00,-115.00,-115.00,-106.00,4.04
-106.000000,-109.000000,-107.000000,-114.000000,-115.000000,-114.00,-107.00,-110.20,-109.00,-115.00,-115.00,-106.00,4.09
-106.000000,-109.000000,-107.000000,-114.000000,-114.000000,-114.00,-107.00,-110.00,-109.00,-114.00,-114.00,-106.00,3.81
